Tweets,Username,Created_at,User location,Coordinates
In Mygia trail #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandscape https:// ift.tt/2RIE2kc pic.twitter.com/dtNGBJQqmY,henrick@gm,11/11/2018 17:42,"London,UK",-
Watch your back #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/BqB1cFrA4gS/ ?utm_source=ig_twitter_share&igshid=18gdpq8d2djbl …,henrick@gm,11/11/2018 7:41,"London,UK",-
Full moon rise from Keri hill with a view to Heraklion #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlands … https:// ift.tt/2QsSexE pic.twitter.com/t4OmBoIAX4,henrick@gm,11/10/2018 14:42,"London,UK",-
Making friends on the beach in Crete! #Crete #Greece #Goat #Beach #Sea #Coastline #CreteIsland #Wildlife #SunSeaSand #GreekIsland #Travel #Explore #SummerDestination pic.twitter.com/cCUCzER7HI,henrick@gm,11/10/2018 14:01,"London,UK",-
Remember #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/Bp_UmZOg4y8/ ?utm_source=ig_twitter_share&igshid=134znx8ru0hdt …,henrick@gm,11/10/2018 8:15,"London,UK",-
Ωραία περάσαμε και σήμερα το πρωί! #rethymnon #crete #creteisland #movember #selfie #selfienation #selfies #me #me #love #pretty #handsome #instagood #instaselfie #selfietime #face … https://www. instagram.com/p/Bp6-L3wlPlr/ ?utm_source=ig_twitter_share&igshid=18vltn8eg87jc …,henrick@gm,11/8/2018 15:42,"London,UK",-
Late at night... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania … https://www. instagram.com/p/Bp6MwUyAGk8/ ?utm_source=ig_twitter_share&igshid=12w4ekwxk80ze …,henrick@gm,11/8/2018 8:30,"London,UK",-
if you're looking for a #stylish #adultsonlyhotel surrounded by a labyrinth of pools in glorious #creteisland this might be it! Watch the #video here JUST BACK FROM STELLA ISLAND ADULTS ONLY RESORT & SPA CRETE GREECE HD VI... https:// youtu.be/Mgnbudn5gtU via @YouTube,henrick@gm,11/7/2018 13:58,"London,UK",-
Chaos #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #heraklion #Heraklion #crete #creteisland #Crete #amateurphotography … https://www. instagram.com/p/Bp3oAzogrZW/ ?utm_source=ig_twitter_share&igshid=irx06szd2mn2 …,henrick@gm,11/7/2018 8:31,"London,UK",-
Wine & Olive Oil Experiences in Crete?! You are on the right Page! #crete #cretegreece #creteisland #wine #winelover #wineries #winesofcrete #winewalkerscrete #oliveoil #creteoliveoil … https://www. instagram.com/p/Bp2XqAyALW9/ ?utm_source=ig_twitter_share&igshid=1nrbrqli9l2az …,henrick@gm,11/6/2018 20:49,"London,UK",-
Fly touch the sun! #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #tourist #tourism #travelling #traveler #tourism #travelingram #igtravel #traveller … https://www. instagram.com/p/Bp1wW2Wlh-9/ ?utm_source=ig_twitter_share&igshid=mq5sm6gy1p6l …,henrick@gm,11/6/2018 15:05,"London,UK",-
Garbages... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/Bp1B7IXAZNL/ ?utm_source=ig_twitter_share&igshid=1l8eh4kf4wum4 …,henrick@gm,11/6/2018 8:20,"London,UK",-
Just #chania ... #greece #crete #creteisland #lighthouse #oldharbor #oldtown #horse #amazingshoot #sunnyday #placetobe #placetovisit #visitcrete #visitgreece #fabulouscrete https://www. instagram.com/p/BpxATXXA0VP/ ?utm_source=ig_twitter_share&igshid=jz8dp8gz4qai …,henrick@gm,11/4/2018 18:48,"London,UK",-
Αντικατοπτρισμοί... #mirroring #mirror #beach #rethymnon #crete #creteisland #november #love #sea #picture #picoftheday #pic #pics #photooftheday #photo #man #art #likes @Réthimnon,henrick@gm,11/3/2018 10:52,"London,UK",-
Hope... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crête #creteisland #Crete #lasithicrete … https://www. instagram.com/p/BpqvReNhhRjc VOC1Gta8flMUy-X3AQQSF0nQcM0/?utm_source=ig_twitter_share&igshid=1hy7cqtgesvoy …,henrick@gm,11/2/2018 8:24,"London,UK",-
