Tweets,Username,Created_at,User location,Coordinates
We give you all the reasons why it's better to work with a local car company. Here they are #CarHire #CarRental #Crete https:// buff.ly/2mb2RHS pic.twitter.com/VgFyzMkGUO,henrick@gm,9/7/2018 13:05,"London,UK",-
Exploring Heraklion! • • • #heraklion #crete #greece #boy #sunglasses #europe #allincrete #iraklio #style #guy #man #chest #vlogger #traveler #backpacker #explore #me #travel … https://www. instagram.com/p/Bna7c_0nhdq/ ?utm_source=ig_twitter_share&igshid=11vcfgj0o0flm …,henrick@gm,9/7/2018 13:04,"London,UK",-
#makeupartist #makeupartistincrete #hairdresser #hairdresserincrete #hair_makeup_nails_by_AlexandraZervou #rethimno #crete #creteisland #κομμώτρια #κομμώτριαστηνκρήτη #μακιγιερ … https://www. instagram.com/p/Bna7WNbB_l8/ ?utm_source=ig_twitter_share&igshid=15rofax2fzaoo …,henrick@gm,9/7/2018 13:03,"London,UK",-
ΑΦΙΕΡΩΜΕΝΗ ΣΤΑ ΖΑΛΑ ΤΩΝ ΜΙΝΩΙΤΩΝ (ΚΑΡΦΙ – ΚΡΟΝΙΟ –ΔΙΚΤΑΙΟ) #crete #Κρήτη #ορειβασία http://www. haniotika-nea.gr/38i-pagkritia- orivatiki-sinantisi/ …,henrick@gm,9/7/2018 13:01,"London,UK",-
Create island Greece (Ierapetra) #Greece #Ellada #Crete #island #Ierapetra #CreteislandGreece #Greekislands #Ελλαδα #IerapetraCreteislandGreece #Creteisland #ΙεραπετραΚρητη … https://www. instagram.com/p/Bna6MMPHFfP/ ?utm_source=ig_twitter_share&igshid=1kfk4f8s1bpp8 …,henrick@gm,9/7/2018 12:49,"London,UK",-
Four reasons to choose Crete as your summer destination! Read here https:// buff.ly/2MbfpO9 #Crete #Greece pic.twitter.com/LXt1JZybb3,henrick@gm,9/7/2018 12:40,"London,UK",-
New - Mountains & Motivation https:// firehorseworld.wordpress.com/2018/09/05/mou ntains-motivation/ … via @firehorsemail #Crete #greece #rethymnon #mountainclimbing #life #motivation,henrick@gm,9/7/2018 12:39,"London,UK",-
Two rich burials discovered in excavations at #Petras cemetery on #Greek island of #Crete | http:// TornosNews.gr https:// buff.ly/2MVYRuL #archaeology #Minoan pic.twitter.com/QEqE1430GJ,henrick@gm,9/7/2018 12:38,"London,UK",-
Looking down to Diaskari beach. Never tire of this place. #holiday #sunseasand #makrygialos #crete #southeastcrete https://www. instagram.com/p/Bna4hi8hpQk/ ?utm_source=ig_twitter_share&igshid=ofo9wjjymh2c …,henrick@gm,9/7/2018 12:34,"London,UK",-
September in southern Crete! Pretty villages,henrick@gm,9/7/2018 12:28,"London,UK",-
