Tweets,Username,Created_at,User location,Coordinates
"#OFI climbed above #AEK into third position of the Super League with an impressive victory in Heraklion, while lead… https://t.co/BTiAAREd0J",agonasport,2019-12-02 05:21:46,,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]"
"#SLGR 1 - Top 5 - Round 12:

#Olympiakos #PAOK #OFI #Xanthi #AEK https://t.co/OxfzxIQWw1",HellasFooty,2019-12-01 23:28:38,,-
"#Panathinaikos comfortably defeated #KolossosRodou on the road in the #BasketLeague, while #AEK edged past… https://t.co/sxmJVpMXc3",agonasport,2019-12-01 22:14:30,,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]"
#Semedo strike earns #OFI Crete a narrow 1-0 win over disappointing #AEK in Heraklion (HIGHLIGHTS). #OFIAEK #SLGR  https://t.co/syEMDgBmO5,agonasport,2019-11-30 19:54:29,,"[[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]"
Line - Up! 🔰 #AEK #AEKLarnaka #AEKANO #pameAEK #playyourpart https://t.co/bmdWisutxZ,AEK_LARNAKA,2019-11-30 15:04:58,Κύπρος,-
RT @HellasFooty: Some more images of the site of #AEK's new stadium. Hopefully all goes well and it is ready for the start of the 2020/21 #…,yanni_kanelis7,2019-11-30 12:11:54,"Liège, Belgique",-
RT @HellasFooty: Some more images of the site of #AEK's new stadium. Hopefully all goes well and it is ready for the start of the 2020/21 #…,MichAELVissini,2019-11-30 08:37:24,Australia,-
RT @HellasFooty: Some more images of the site of #AEK's new stadium. Hopefully all goes well and it is ready for the start of the 2020/21 #…,MaikLeventis,2019-11-30 08:34:14,,-
RT @HellasFooty: Some more images of the site of #AEK's new stadium. Hopefully all goes well and it is ready for the start of the 2020/21 #…,smfcmike,2019-11-30 08:32:21,Mike's Whole of Football Plan:,-
Some more images of the site of #AEK's new stadium. Hopefully all goes well and it is ready for the start of the 20… https://t.co/1hHkp571S9,HellasFooty,2019-11-30 08:30:24,,-
