Tweets,Username,Created_at,User location,Coordinates
The fishing harbour at Sissi,henrick@gm,2018-09-15 02:05,"London,UK",-
“It’s a smile,henrick@gm,2018-09-15 01:49,"London,UK",-
Join our garden... join our paradise! . #vcparadise #heavenonearth #korakasbeach #rodakino #rethymno #rethymnon #rethymnoncrete #crete #creta #kreta #crête #crète #greece #grèce #ig_greece … https://www. instagram.com/p/BkftA-nBsTM/ ?utm_source=ig_twitter_share&igshid=dh8qx7q7xknp …,henrick@gm,2018-09-15 01:47,"London,UK",-
6ο τουρνουά «Βασίλης Παδουβάς» ΟΦΗ-Εργοτελης @ofibasketball vs @ergotelisbc #bball #basketball #basketballtournament #tournament #crete #heraklion —————————————————————— by @e1 .aga @Γηπεδο Μπάσκετ 2 Αορακια,henrick@gm,2018-09-15 00:32,"London,UK",-
6ο τουρνουά «Βασίλης Παδουβάς»: Δειλινό-Πεδιάδα @a .o._deilino_basketball #bball #basketball #crete #herakleion #tournament @Γηπεδο Μπάσκετ 2 Αορακια,henrick@gm,2018-09-15 00:16,"London,UK",-
Από τα φοιτητικα χρόνια... #film #1600iso #clouds #storm #Heraklion #Crete https://www. instagram.com/p/BnuJg_3nRsK/ ?utm_source=ig_twitter_share&igshid=mgzribpjau4 …,henrick@gm,2018-09-15 00:09,"London,UK",-
Intriguing #exhibition in #heraklion #crete by artist #manos #pontikakis . #faces #Fishermen and #ancestors @Heraklion,henrick@gm,2018-09-14 23:56,"London,UK",-
Bougatsa heaven #bougatsa #cretanbougatsa #crete #bougatsaxanion #xania #greek #greece #pastry #pastries #cheesepastry #bougatsaheaven #phyllo #filo #phyllodough #filodough #dough #breakfast #dessert http://www. glykasweets.com 415-454-4054 https://www. facebook.com/GlykaSweets/vi deos/327502901130982/ …,henrick@gm,2018-09-14 23:39,"London,UK",-
#dilbar earlier,henrick@gm,2018-09-14 23:36,"London,UK",-
Coffee #Kalyves way. Kahvit #Kalives 'in tapaan. #KalivesBeachHotel #coffeecapsules #afternooncoffee #iltapäiväkahvit #Kalyvesbeach #Chania #Crete #Greece #Kalivesbeach #Kreeta #Hania #Kreikka pic.twitter.com/IQd4zUm7F4,henrick@gm,2018-09-14 23:34,"London,UK",-
In case you haven’t noticed,henrick@gm,2018-09-14 23:31,"London,UK",-
Arrivé de #crete greece à Paris 10° d'écart. Il ne fait pas chaud. Profitez à #chania @transavia pic.twitter.com/OjoWxkFmVP,henrick@gm,2018-09-14 23:24,"London,UK",-
Intriguing #exhibition in #heraklion #crete by artist #manos #pontikakis . #faces #Fishermen and #ancestors https://www. instagram.com/p/BnuEOkCFfUie 4a2FiPOq4GWBFiG6nUpwzpNrkM0/?utm_source=ig_twitter_share&igshid=1ru6q4lz7fkjm …,henrick@gm,2018-09-14 23:22,"London,UK",-
Another holiday nearly over. Western Crete,henrick@gm,2018-09-14 23:20,"London,UK",-
Island #2 Chanía,henrick@gm,2018-09-14 23:13,"London,UK",-
Tι βρίσκει κανείς στην Κρήτη... #crete #cannabis #tea @Herákleion,henrick@gm,2018-09-14 23:12,"London,UK",-
Aphrodite Villa is a unique and of high quality Villa that offers unforgettable private moments of relaxation around its private swimming pool. View more: http://www. uniquevillas.gr #crete #lasithi #greece #uniquevillas #feelingconnected #villas pic.twitter.com/nBhHz2NOhr,henrick@gm,2018-09-14 23:01,"London,UK",-
My good friend is having difficulty getting help for her ill father in #Crete . Do I have any friends who are bilingual and in Crete.,henrick@gm,2018-09-14 22:43,"London,UK",-
#sailing #cruise #dia #island #crete http://www. cretetravel.com https://www. instagram.com/p/Bnt_COHHS7S/ ?utm_source=ig_twitter_share&igshid=udf21vl6udji …,henrick@gm,2018-09-14 22:38,"London,UK",-
