Tweets,Username,Created_at,User location,Coordinates
Abandoned well at Vrachassi,henrick@gm,7/14/2018 0:06,Texas,-
Crete island #Greece #Ellada #Crete #island #CreteislandGreece #Greekislands #Ελλαδα #Creteisland #Κρητη #Hellas #Ελλας #Greecia @Greece https://www. instagram.com/p/BlKsr54gM-H/ ?utm_source=ig_twitter_share&igshid=shyus8apddlo …,henrick@gm,7/13/2018 12:40,Texas,-
Buongiorno da Balos,henrick@gm,7/13/2018 9:58,Texas,-
Disruption #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/BlKTmnvllLt/ ?utm_source=ig_twitter_share&igshid=jfzht1dvru60 …,henrick@gm,7/13/2018 9:13,Texas,-
Disruption #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/BlKTmnvllLt/ ?utm_source=ig_twitter_share&igshid=vtdyvx733en …,henrick@gm,7/13/2018 9:01,Texas,-
BLACK + WHITE • • • • • #blackandwhite #blackandwhitephotography #sunset #inspirational #inspirations #colourinspo #colourinspiration #chania #crete #cretegreece #creteisland #travels … https://www. instagram.com/p/BlJggYHhEaI/ ?utm_source=ig_twitter_share&igshid=v7dvga1c0828 …,henrick@gm,7/13/2018 1:36,Texas,-
Crete is the largest and most populous of the Greek islands. #travel #travelphotography #grass #traveller #travelers #beach #greek #crete #crete #creteisland #crète #crête #visitcrete #lovecrete #greek_islands #peoples #people #people_tr #beachside #beach #holidays pic.twitter.com/AYG7AV0Q4k,henrick@gm,7/11/2018 22:57,Texas,-
Regardez moi cette eau,henrick@gm,7/11/2018 19:06,Texas,-
Boats at Milatos Harbour #Crete #creteisland #lovecrete #Greece #djimavicair #dronelife pic.twitter.com/Dnanmct3aR,henrick@gm,7/11/2018 18:03,Texas,-
Hello from Sougia! Website: http://www. syiahotel.com Book directly & Get an offer! #sougia #syiahotel #paleochora #chorasfakion #loutro #elafonisi #crete #beach #sougiabeach #greece #sea #summer #creteisland #nature #vacation #chania #travel #paradise #instalove #traveling pic.twitter.com/elRLpWe2zA,henrick@gm,7/10/2018 11:00,Texas,-
Crete... my loved! . . #creteisland #greece #whataview #memories #loveit #lovegreece #travelblogger #travelholic #travelgram #travelporn #lovetravel #ig_worldclub #blondegirl @Chaniá,henrick@gm,7/8/2018 23:33,Texas,-
. Fisicamente a Roseto .. cuore e mente ,henrick@gm,7/8/2018 15:41,Texas,-
Des vagues,henrick@gm,7/8/2018 13:55,Texas,-
Des couleurs de folie,henrick@gm,7/8/2018 13:50,Texas,-
La mosquée Ottomane qui s'intègre parfaitement avec les couleurs du port Venitien de La Canée. Xania Lumix GX80 #mosque #religion #port #creteisland #crete #crete #photooftheday … https://www. instagram.com/p/Bk8NMmJjcBS/ ?utm_source=ig_twitter_share&igshid=1ehbx1imoce25 …,henrick@gm,7/7/2018 21:36,Texas,-
Ηράκλειο από ψηλά ... #heraklion #myherakliongr #creteisland #φωτοσυνθεσις #awesome_shots #kings_through #kings_greece #jj_doorsandwindows #unlimited_greece #perfect_greece #roundphot0 … https://www. instagram.com/p/Bk7PbAMHAHc/ ?utm_source=ig_twitter_share&igshid=11286h6qtwkgd …,henrick@gm,7/7/2018 12:36,Texas,-
They were expecting me... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/Bk4SrjmD9tj/ ?utm_source=ig_twitter_share&igshid=5myr6i7bwl8v …,henrick@gm,7/6/2018 9:07,Texas,-
Wrote a lil rhyme for #Crete #Greece #creteisland #islandofcrete #kreta #kriti #GreekIslands #iwrite #rhyme #rhyming #poems #poetry #writing #create #creative #creativity #inspiration #creativemind #peacethesmARTist #crEATiveheARTspace @mariesunpeace http:// instagram.com/p/Bk3w1AcFjMm/ pic.twitter.com/0dVWJQJ7nZ,henrick@gm,7/6/2018 8:06,Texas,-
Morning walk #walker #mirtos #crete #Creteisland #GreekIslands #vegan #Traveller pic.twitter.com/CrhU20opfl,henrick@gm,7/6/2018 7:48,Texas,-
Sunshine in the streets of Chania #TBT #throwbackthursday #crete #chania #greece #creteisland #creta #travel #visitcrete #kreta #kriti #instagreece #Χανιά #Κρήτη #Ελλάδα @VisitGreecegr #throwback pic.twitter.com/SKBb26brOe,henrick@gm,7/5/2018 7:50,Texas,-
Family is... #family #asone #happytime #photoshooting #baptism #familyphotography #creteisland #teo_foutzopoulos https://www. instagram.com/p/BkyN4gWnSDG/ ?utm_source=ig_twitter_share&igshid=45p39i3wqlrg …,henrick@gm,7/4/2018 10:47,Texas,-
There's a ship on the horizon . . . #creteisland #greece #closetoafrica #cretansea #Mediterranean #libiansea #ship #horizon #horizonte @Alexanderbeach https://www. instagram.com/p/BkzI9eNHPh5/ ?utm_source=ig_twitter_share&igshid=7f2w878r47fe …,henrick@gm,7/4/2018 9:06,Texas,-
Tulipa doerfleri tulip in Gious Kampos mountain plateau #psiloritis #geopark #agameof10k#AGameofTones #theglobewanderer #worldplaces #discoverearth#nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandsca … https:// ift.tt/2MMdJHl pic.twitter.com/rp9AcgDOPQ,henrick@gm,7/3/2018 17:42,Texas,-
Tulipa doerfleri tulips in Gious Kampos mountain plateau #psiloritis #geopark #agameof10k#AGameofTones #theglobewanderer #worldplaces #discoverearth#nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandsc … https:// ift.tt/2KIYbXJ pic.twitter.com/kM9m2JCjUl,henrick@gm,7/3/2018 17:42,Texas,-
If someone would ask me where I'd like to wake up every morning,henrick@gm,7/3/2018 14:46,Texas,-
Hello from Sougia! Website: http:// buff.ly/2HniHMQ Book directly & Get an offer! #sougia #syiahotel #paleochora #chorasfakion #loutro #elafonisi #crete #beach #sougiabeach #greece #sea #summer #creteisland #nature #vacation #chania #travel #paradise #instalove #traveling pic.twitter.com/f6Io6dhKzw,henrick@gm,7/3/2018 11:00,Texas,-
Ατενίζοντας.. #looking #seaview #seascape #discoverheraklion #creteisland #photography #justgoshoot #teo_foutzopoulos https://www. instagram.com/p/BkuocpFn-9m/ ?utm_source=ig_twitter_share&igshid=1li7xwpjwtkvt …,henrick@gm,7/2/2018 23:26,Texas,-
Der venezianische Hafen von Rethymnon auf Kreta. Mit der Beleuchtung der ganzen Gaststätten eine echte nächtliche Augenweide #rethymno #creteisland #greece #kreta #griechenland #night … https://www. instagram.com/p/Bkvbk5OHZnL/ ?utm_source=ig_twitter_share&igshid=qi8dchs9124j …,henrick@gm,7/2/2018 22:31,Texas,-
Gious Kampos mountain plateau #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandscape … https:// ift.tt/2tYErVF pic.twitter.com/7OzMl0wgS3,henrick@gm,7/2/2018 16:42,Texas,-
good morning from Balos,henrick@gm,7/2/2018 16:21,Texas,-
Με τον Ιούλιο να μας καλωσορίζει,henrick@gm,7/2/2018 15:05,Texas,-
Goodbye my lover,henrick@gm,7/1/2018 20:11,Texas,-
Loving life! #summertime #inmyelement #exploring #holidayspirit #creteisland #eloundabeach @Elounda Port https://www. instagram.com/p/BkpHQlHlzM5/ ?utm_source=ig_twitter_share&igshid=p9vzyel4s59a …,henrick@gm,6/30/2018 17:21,Texas,-
https:// ift.tt/2MC5uxw Entrance of the small Labyrinth in Gortyna #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete … https:// ift.tt/2KmTeEH pic.twitter.com/LuRSP4XOnq,henrick@gm,6/30/2018 15:42,Texas,-
#rethymno #rethymnoncrete #crete #creta #greece #greece #greek #greeks #creteisland #skyporn #sky #blue #seascapes #sea #seaside #fortezza #details #igers #igersgreece #landscapes … https://www. instagram.com/p/BkpNVCNnewg/ ?utm_source=ig_twitter_share&igshid=1chk5aznjzlor …,henrick@gm,6/30/2018 12:31,Texas,-
#three #shades of #blue #heraklion #fortress #wind #shore #creteisland @Venetian Fortress - Old Venetian Port https://www. instagram.com/p/BknsNvgF3jN/ ?utm_source=ig_twitter_share&igshid=gvtd1kcme14j …,henrick@gm,6/29/2018 22:24,Texas,-
Ancient olive grove near Fourfouras Amari Crete #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandscape https:// ift.tt/2KwmvZk pic.twitter.com/xw3Czrba5P,henrick@gm,6/29/2018 21:42,Texas,-
Ancient olive grove near Fourfouras Amari Crete #psiloritis #geopark #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #colours_of_crete #cretanlandscape http:// tours.nhmc.uoc.gr/geoparks/idi/i ndex.html?s=pano8378 … pic.twitter.com/ay2lWaJZb9,henrick@gm,6/29/2018 21:11,Texas,-
This summer you have one destination ! #theaseas theaseas_cafe_bar_restaurant ,henrick@gm,6/29/2018 11:29,Texas,-
