Tweets,Username,Created_at,User location,Coordinates
"Whatevs...

#LoveGreece
#LoveCrete https://t.co/sD8ADbhrJb",Johnofspurs,9/2/2019 13:08,United Kingdom,"[[[24.5351174, 35.2700652], [24.7071309, 35.2700652], [24.7071309, 35.41292], [24.5351174, 35.41292]]]"
"Would you do it? Y/N
For More Ideas of amazing journeys to take visit https://t.co/GrwqPSCWzQ
#crete #paleochora… https://t.co/C6sMNEYKzP",TravelHackLife,9/5/2019 16:05,Worldwide,-
"🔝Follow is to see more about Crete!
.
.
#Crete #vacations #travelgirl #discover #beautifulplaces #travelling… https://t.co/RImjEU1vBm",eco_rentals,9/5/2019 11:08,"Karteros, Heraklion - Crete","[[[25.14928074823644, 35.32952930200275], [25.14928074823644, 35.32952930200275], [25.14928074823644, 35.32952930200275], [25.14928074823644, 35.32952930200275]]]"
"Would you do it? Y/N
@thetravelhackinglife 👆 for more Journeys to Take before you die.⠀
Find out more info @… https://t.co/CjeK1lqJWt",TravelHackLife,9/4/2019 21:05,Worldwide,-
In Mala Villa you will experience something more than typical holiday! Book your stay and benefit from our promotio… https://t.co/hWPHNc0OB7,hotelsierapetra,9/4/2019 14:46,"Κρήτη, Ελλάς",-
"Our review of Kiani Beach - an all inclusive family resort in Crete, including what we thought of the kids club, po… https://t.co/q5wulk7uQJ",TinBoxTraveller,9/3/2019 21:56,"Devon, UK",-
"Top things to do in Chania, Crete with kids [AD] https://t.co/vvVKSB5Hj1 #travel #familytravel #VisitCrete https://t.co/mBGViWpzfU",TinBoxTraveller,9/2/2019 19:43,"Devon, UK",-
"Gallop...
#horse #gallop #riding #sea #beach #rethymnon #crete #creteisland #greece #visitrethymno #visitcrete… https://t.co/Q2s1xHqXpv",NoiseWD,8/31/2019 17:23,"Ρέθυμνο, Ελλάς","[[[24.4246491, 35.2522866], [24.567456, 35.2522866], [24.567456, 35.373842], [24.4246491, 35.373842]]]"
"Best desserts ever!
Banoffee, mini cheesecake, baklava, profiterole with cream filling and orange creme on top… https://t.co/M9DtXHsNTI",ArtOfTalemaster,8/30/2019 17:46,"Baden-Württemberg, Deutschland","[[[24.4246491, 35.2522866], [24.567456, 35.2522866], [24.567456, 35.373842], [24.4246491, 35.373842]]]"
"Our review of Kiani Beach - an all inclusive family resort in Crete, including what we thought of the kids club, po… https://t.co/CzUTMwryhC",TinBoxTraveller,8/29/2019 16:45,"Devon, UK","[[[24.4246491, 35.2522866], [24.567456, 35.2522866], [24.567456, 35.373842], [24.4246491, 35.373842]]]"
"Would you do it? Y/N
For More Ideas of amazing journeys to take visit https://t.co/GrwqPSCWzQ
#crete #paleochora… https://t.co/C6sMNEYKzP",TravelHackLife,9/5/2019 16:05,Worldwide,-
". 
Agia Pelagia (Heraklion Crete) - before becoming a popular holiday resort...
.
https://t.co/pCl6rXykWX
.… https://t.co/5aCAJoZoNO",Agiapelagia,9/5/2019 12:09,Crete Island Greece,-
"Quiet waves reaching the shore under a cerulean sky, a hot temperature that attracts people to the water, and flowe… https://t.co/dv87lcuUWx",TravelHackLife,9/5/2019 11:05,Worldwide,-
A snapshot of market day... starting off with my breakfast friend... who was very insistent on sharing my yoghurt!… https://t.co/mppdEdb2zJ,Francesca_Muir,9/5/2019 4:17,,-
"Would you do it? Y/N
@thetravelhackinglife 👆 for more Journeys to Take before you die.⠀
Find out more info @… https://t.co/CjeK1lqJWt",TravelHackLife,9/4/2019 21:05,Worldwide,-
"Father and son making local instruments it's nice to see the young learn old trades. 
Taken in Rethymno Crete what… https://t.co/qcBoRMNaK1",Justinphotocoe,9/4/2019 10:42,West London,-
"Crete....the largest of all the Greek Islands.... and some of the nicest hotels.  

📷impeccablehotels
• • • • • •… https://t.co/9oFtYbxytk",Dontforgetgroup,9/2/2019 23:31,Adelaide,-
"Shadow games...
Thank you lordperpis
#photo #photos #pic #pics #me #picture #pictures #snapseed #water #september… https://t.co/Mdu5ZCDsWY",NoiseWD,9/2/2019 14:37,"Ρέθυμνο, Ελλάς","[[[138.44212992, -35.348970061], [138.780189824, -35.348970061], [138.780189824, -34.652564053], [138.44212992, -34.652564053]]]"
"It's what smartphones were invented for.

#greatestselfie #bestselfies #bestself #instafashion #instapose 
#balos… https://t.co/1gbHMUooHV",volshy,9/2/2019 11:25,"Wirral, Merseyside","[[[24.4246491, 35.2522866], [24.567456, 35.2522866], [24.567456, 35.373842], [24.4246491, 35.373842]]]"
"RT @KourisSpyros: casacook beach house under the moonlight 🌕
#casacookchania #casacookhotels #casacook #chania #creteisland #resortlife #gr…",DreamHomeVenues,9/1/2019 1:44,"Austin, TX &  Lake Arrowhead, CA","[[[23.4733223, 35.384836], [23.6874393, 35.384836], [23.6874393, 35.6483888], [23.4733223, 35.6483888]]]"
"Gallop...
#horse #gallop #riding #sea #beach #rethymnon #crete #creteisland #greece #visitrethymno #visitcrete… https://t.co/Q2s1xHqXpv",NoiseWD,8/31/2019 17:23,"Ρέθυμνο, Ελλάς",-
"I don't go at beach, because I like it. I go because I have to. For vitamin D...
#me #sun #sunkissed #summer… https://t.co/gppFY764rb",NoiseWD,8/30/2019 18:45,"Ρέθυμνο, Ελλάς","[[[24.4246491, 35.2522866], [24.567456, 35.2522866], [24.567456, 35.373842], [24.4246491, 35.373842]]]"
Stunning panoramic views of the Venetian harbor of Chania!! Absolutely beautiful!! #chania #crete #greece… https://t.co/8ENtc6vJDA,GsChania,8/29/2019 18:00,"Χανιά, Ελλάς","[[[24.4675758, 35.002535], [24.724912, 35.002535], [24.724912, 35.2812894], [24.4675758, 35.2812894]]]"
"RT @liliana_dorina: Rethymnon, Crete,Greece 
September On The Beach
#Rethymnon #Crete #September2019 #seascape #travelphotography 
📷#Samsun…",yuliashadesign,9/7/2019 10:30,St.Petersburg,-
4 hours left in this amazing place #crete #summer #relaxing https://t.co/joWJ471Yjj,agentdixon,9/7/2019 10:12,"Hull, UK",-
RT @1371Takis: Alis is adopted to Belgium! You are welcome here to see all my dogs and find the right dog for you. Let the dog to choose yo…,annkon111,9/7/2019 10:05,,-
"Hello weekend! Can you guess which beach this is? 💙 #Crete 
https://t.co/8hJbuOTbIE https://t.co/xtWXtjtkUj",car_hire_crete,9/7/2019 10:05,"Nidas 1, Heraklion,Crete 71307",-
"RT @AgileCrete: Wow! Many people with burning questions! 🔥
#agilecrete #agile #conference #sessions #crete https://t.co/TTCATBoPav https://…",steliosntilis,9/7/2019 9:37,"Chania, Crete, Greece",-
"RT @liliana_dorina: Rethymnon, Crete, Greece 
September Morning ..
#Rethymnon #Crete #travelphotography #september2019 #seascape
📷#SamsungG…",tepanchinceva,9/7/2019 9:29,"Хабаровск, Хабаровский край",-
"RT @liliana_dorina: Crete, Greece 
Sunset In Axus
#sunset #Crete #Greece #travelphotography #September2019 
📷#SamsungGalaxyNote9 
Good Even…",tepanchinceva,9/7/2019 9:29,"Хабаровск, Хабаровский край",-
"RT @must_travel: Port of Hania, #Crete, #Greece. #travel #musttravel https://t.co/Zj0sGMJeAl",ajs_KE,9/7/2019 9:16,KENYA |  UGANDA  |  TANZANIA ,-
"RT @liliana_dorina: Crete, Greece 
Sunset In Axus
#sunset #Crete #Greece #travelphotography #September2019 
📷#SamsungGalaxyNote9 
Good Even…",almalah1411,9/7/2019 9:11,,-
"RT @liliana_dorina: Rethymnon, Crete, Greece 
September Morning ..
#Rethymnon #Crete #travelphotography #september2019 #seascape
📷#SamsungG…",YoushowmeP,9/7/2019 9:10,,-
Where is it?? I did one season in #Crete ages ago!!! :) https://t.co/kJbQEtVKyf,jackiedeburca,9/7/2019 9:09,Spain,-
RT @1371Takis: A new life!... free &amp; loved. #takisshelter #adoptdontshop #rescueddogsofinstagram #rescuedismyfavoritbreed #animalrescue #an…,AAAprosarmostos,9/7/2019 9:00,,-
RT @1371Takis: Alis is adopted to Belgium! You are welcome here to see all my dogs and find the right dog for you. Let the dog to choose yo…,Petrospilot,9/7/2019 8:56,,-
RT @1371Takis: Alis is adopted to Belgium! You are welcome here to see all my dogs and find the right dog for you. Let the dog to choose yo…,CorinaVasilopou,9/7/2019 8:54,"Halandri (Athens), Greece",-
"Whether its rest and relaxation or action and adventure (or maybe a mix of the two) you’re looking for, #Crete’s di… https://t.co/Ge4hx0pJ9N",jamesvillasuk,9/7/2019 8:00,"Maidstone, UK",-
"RT @AgileCrete: Tonight's networking event could be a round table but circle dancing creates stronger bonds 😄
#agilecrete #agile #conferenc…",kabitakis,9/7/2019 7:45,Greece,-
"RT @AgileCrete: Interactive workshop on Agile Threat Modelling by Barry, Joe &amp; Jennette ‼️
#agilecrete #agile #conference #software #sessio…",kabitakis,9/7/2019 7:45,Greece,-
"RT @AgileCrete: Sessions proposals begin! Propose your burning questions for discussion!
#agilecrete #agile #conference #technology #sessio…",kabitakis,9/7/2019 7:44,Greece,-
And here’s one I did earlier based on a sketch from memory of this young boy fishing off a rock in #crete !… https://t.co/XbHbYmnI3F,ChrisBtheArtist,9/7/2019 7:43,"Barnet, Hertfordshire UK",-
RT @PSpartiatissa: @EuropeanHistor1 @Makedni @ak_square9 @TJ3TZFnJt3LNK1z @SamuGun1 @orguel1984 @SalonikaFilip @panbog2 @HristodulP @KSpart…,Makedni,9/7/2019 7:25,"Pella,Ancient Macedonia,Greece",-
"RT @liliana_dorina: Rethymnon, Crete, Greece 
September Morning ..
#Rethymnon #Crete #travelphotography #september2019 #seascape
📷#SamsungG…",danielsaeed,9/7/2019 7:25,"Yorkshire and The Humber, Engl",-
RT @1371Takis: Alis is adopted to Belgium! You are welcome here to see all my dogs and find the right dog for you. Let the dog to choose yo…,sofikar,9/7/2019 7:18,,-
"RT @HMSEnterprise: #Crete it’s been a pleasure, a lovely visit enjoying the Mediterranean morning sun. #BoldlyGo #RoyalNavy https://t.co/zN…",ContactIdbam,9/7/2019 6:48,Hellas,-
RT @nickixero: There are some lovely plants here #elounda #crete 🌞🌞🌞 https://t.co/ykfaVMkklA,HRAKLHS58207871,9/7/2019 6:46,,-
"RT @liliana_dorina: Rethymnon, Crete,Greece 
September On The Beach
#Rethymnon #Crete #September2019 #seascape #travelphotography 
📷#Samsun…",Yasir54249138,9/7/2019 6:39,,-
"RT @liliana_dorina: Rethymnon, Crete, Greece 
September Morning ..
#Rethymnon #Crete #travelphotography #september2019 #seascape
📷#SamsungG…",Matilde99101783,9/7/2019 6:34,Italy 🇮🇹,-
"RT @liliana_dorina: Rethymnon, Crete,Greece 
September On The Beach
#Rethymnon #Crete #September2019 #seascape #travelphotography 
📷#Samsun…",Matilde99101783,9/7/2019 6:34,Italy 🇮🇹,-
RT @1371Takis: Alis is adopted to Belgium! You are welcome here to see all my dogs and find the right dog for you. Let the dog to choose yo…,NaumN2,9/7/2019 6:28,"Московская область, Россия",-
"RT @liliana_dorina: Crete, Greece 
Sunset In Axus
#sunset #Crete #Greece #travelphotography #September2019 
📷#SamsungGalaxyNote9 
Good Even…",ALEX54456095,9/7/2019 6:12,,-
"RT @liliana_dorina: Crete, Greece 
Sunset In Axus
#sunset #Crete #Greece #travelphotography #September2019 
📷#SamsungGalaxyNote9 
Good Even…",bernadettethebe,9/7/2019 6:12,,-
Beauty everywhere I look! How much I missed this wonderful island! I can't believe it's been so many years since I… https://t.co/vhmbYCz04R,Cristia11146735,9/7/2019 6:09,,-
"RT @liliana_dorina: Crete, Greece 
Sunset In Axus
#sunset #Crete #Greece #travelphotography #September2019 
📷#SamsungGalaxyNote9 
Good Even…",Christovb7000,9/7/2019 6:03,"Pretoria, South Africa",-
