Tweets,Username,Created_at,User location,Coordinates
"4 Top-notch things to do in Crete Island
Read More:- https://t.co/eGq0Tyenu9
#CreteIsland #CreteIslandGreece… https://t.co/8ZI0bakGPh",greece_visa,11/28/2019 11:10,,-
"Hyundai Creta 1.6L
Brand New
Year 2020
1.6L Diesel Engine
Automatic Transmission
Color White
#creta #greece… https://t.co/rsOgBwtRdO",MileleMotors,11/28/2019 5:37,"Dubai, United Arab Emirates",-
"Greek Photo of the Day from https://t.co/AqQR4olCn8 @greekboston
.
#ellada #greece #greeks #greek #hellenic… https://t.co/NUwT0dHxCD",GreekBoston,11/27/2019 13:48,"Boston, MA",-
"November,  the month of Raki - Tsikoudia  production!! What a wonderful Sunday evening!! #chania #crete #greece… https://t.co/RQI925hzUG",GsChania,11/24/2019 17:36,"Χανιά, Ελλάς",-
Amazing footage from Virgin Mary's 2019 celebrations in Chania Orthodox Cathedral!! #chania #crete #greece… https://t.co/8JHBcrxzTK,GsChania,11/23/2019 16:59,"Χανιά, Ελλάς",-
"Now that’s what we’d call: ‘location, location, location’! Crete is a blessed land, filled with such pretty little… https://t.co/A9U9LAdJSe",RealGreekTweet,11/22/2019 12:29,London,"[[[-0.187894, 51.483718], [-0.109978, 51.483718], [-0.109978, 51.5164655], [-0.187894, 51.5164655]]]"
Our city is celebrating today!! #chania #crete #greece #creteisland #oldtown #oldharbor #amazingview #amazingshoot… https://t.co/jetnsXSUOS,GsChania,11/21/2019 16:40,"Χανιά, Ελλάς",-
"Looking for a Spring holiday for 2020? Read our review of Kiani Beach - an all inclusive family resort in Crete, in… https://t.co/8ocQTFbhvy",TinBoxTraveller,11/26/2019 17:45,"Devon, UK",-
Balos Beach of Crete has been revered as one of the best-secluded beaches in Greece and is often compared to the Ca… https://t.co/NXWqpLgL0q,granexperiences,11/26/2019 5:01,,-
Planning a winter break in Crete? Here's our top things to do in Chania with kids [AD] https://t.co/vvVKSB5Hj1… https://t.co/wskqZXKmal,TinBoxTraveller,11/25/2019 13:09,"Devon, UK",-
"Five Most Picturesque Places in Crete: https://t.co/QHC1AZttbZ

#crete #greece #greekislands #visitcrete #bestwalks… https://t.co/OcS34gMybJ",WorldWalks,11/25/2019 9:02,,-
RT @VardisHotel: #Rethymno fortezza (1590) built by the Venetians to protect the city from Ottomans' attacks and pirates' raids it stands u…,DurrellSociety,11/23/2019 13:04,Hotel des Princes | Avignon,-
RT @VardisHotel: #Rethymno fortezza (1590) built by the Venetians to protect the city from Ottomans' attacks and pirates' raids it stands u…,Seanponty,11/23/2019 11:31,Wales,-
RT @VardisHotel: #Rethymno fortezza (1590) built by the Venetians to protect the city from Ottomans' attacks and pirates' raids it stands u…,FJacotin,11/23/2019 8:25,Agios NIKOLAOS Crête ,-
