Tweets,Username,Created_at,User location,Coordinates
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",Puni96616162,12/1/2019 10:33,Crete,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",Sachin86822379,12/1/2019 10:32,Crete,-
"RT @soompi: #ParkJinYoung Reveals Which Of His Songs Generate Most Royalties + Inspiration Behind Hits From #WonderGirls, #Rain, And #2PM
h…",miniikkpop,12/1/2019 10:29,Crete,-
"Our 12th player in action...
#Rain #PAKvsAUS",IDREESTAREEN25,12/1/2019 10:25,Crete,-
"RT @afeltontaylor: ‘The windscreen wipers are a beating in time...’ with apologies to Slim Dusty, ours are getting the best work out they h…",HallRaelene,12/1/2019 10:22,Crete,-
"RT @cloudjjhph_: Magic Show Promotions in Sanya Fenghuang International Airport!

@rain_oppa will be attending a Private company event toda…",DIskooglu,12/1/2019 10:19,"İstanbul, Türkiye",-
"RT @cloudjjhph_: [Article] ""He had a great height, dance, and voice. He thought he couldn't sing, but his voice was so good. I didn't want…",DIskooglu,12/1/2019 10:19,"İstanbul, Türkiye",-
RT @cloudjjhph_: “The funniest one I wrote in the past was [Rain‘s] ‘How to Avoid the Sun’ after seeing the hood of a car. Rain and Kim Tae…,DIskooglu,12/1/2019 10:19,"İstanbul, Türkiye",-
"RT @catcoco2011: 「魔力 Show」“Magic Show”- Promotion _ @29rain❤️ ""Magic show"" summit, December 1, Sanya, Hainan, China 
#비#정지훈 #Rain #가수비 #배우정…",DIskooglu,12/1/2019 10:19,Crete,-
"RT @cloudjjhph_: Promotional Video for the Magic Show Event in Sanya, China!

📹: @raincloudworld 

#비 #rain #정지훈 #jungjihoon #배우정지훈 #가수비 #r…",DIskooglu,12/1/2019 10:19,Crete,-
��🥶 Layering is the name of the game this Winter!!! @mychiandme #cold #rain #snow #snowing #snowflakes #wintertime… https://t.co/iBnWfxf7ER,MyChiandmeUK,12/1/2019 10:18,United Kingdom,-
"Forecast for early today   See the Snow and storms on  Radar: https://t.co/HNLPnbqhEd
#wx #weather #storm #hail… https://t.co/4HOPeehXUC",livewxradar,12/1/2019 10:17,USA,-
"RT @Shivani_offl: I dont knw why Rains are being very close to my heart ❤️ My Heart feels happy when it Rains ❤️

#rainyday #rain #Saturday…",Thala1harish,12/1/2019 10:16,,-
More #rain and even some lightning strikes on the radar to start the morning.  #OHwx https://t.co/pvuZU8azSs,MetMcGiffin,12/1/2019 10:14,"Columbus, OH",-
"RT @GreenHarvestMW: This is Irish potatoes grown in empty sacks behind the house. You don't always need land to be a #farmer, use those emp…",amizere,12/1/2019 10:11,Malawi,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",Aman44953995,12/1/2019 10:10,"हरियाणा, भारत",-
"#nature #ibnubotan RT @mds_view: Let the Rain wash away, all the pain of yesterday!🌧️🌧️
#Rain #Peace #Nature… https://t.co/TTPxQgRO0E",ibnubotan,12/1/2019 10:09,Somalia,-
"RT @soompi: #ParkJinYoung Reveals Which Of His Songs Generate Most Royalties + Inspiration Behind Hits From #WonderGirls, #Rain, And #2PM
h…",KYUTIEPIEKYU,12/1/2019 10:09,"Moreno Valley, CA",-
"RT @GretschUSA: #Repost @billyduffyofficial Jamming with Johnny in our hometown 😁
#repost @officialcult THE CULT X JOHNNY MARR #RAIN #SOUND…",AntonySophia13,12/1/2019 10:08,UK,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",AnitaDa22372013,12/1/2019 10:06,,-
"RT @mds_view: Let the Rain wash away, all the pain of yesterday!🌧️🌧️
#Rain #Peace #Nature #photography https://t.co/Cw7jaYqUKi",myselfMDS,12/1/2019 10:06,India ,-
"Let the Rain wash away, all the pain of yesterday!🌧️🌧️
#Rain #Peace #Nature #photography https://t.co/Cw7jaYqUKi",mds_view,12/1/2019 10:05,World,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",MukeshS07726927,12/1/2019 10:05,,-
"RT @ShrimaliPrakas9: #RIPPriyankReddy
#BrahmaKumaris_Expose
#rain
 So you all request must think what is the right path for doingrealbyupre…",anandsh14552823,12/1/2019 10:01,,-
"@AnandSkfc Like a #lotus waiting for the #sun, Like a #chakorbird waiting for the #moon, Like a #chatakbird waiting… https://t.co/MdHDUQJMu8",Babu_Shirdi,12/1/2019 10:01,"Shirdi, शिर्डी, Maharashtra, भारत",-
"Southern California rainy day vibes⚡️
.
..
.
..
.
..
#rain #california #nature #naturephotography #singer… https://t.co/pjaet1XA52",TravisEkodol,12/1/2019 10:00,,-
"1/12/2019,10:00,Dry,temperature3.0oC,average wind speed4.0mph,wind directionENE,rain inthe last hour0.0mm,#weather… https://t.co/muDkKNRYR3",SycamoreWeather,12/1/2019 10:00,Evesham Worcester uk,-
RT @markos00691: Southeast Queensland storms today out near Beaudesert #storm #thunderstorm #timelapse #goprohero7black #clouds #rain https…,GruntledChalkie,12/1/2019 10:00,Dandenong Ranges,-
"#Raindrops, #teardrops, #rainy day, #rain all day:  https://t.co/a1stFYV08r

#plur #BandCamp #streaming #IrmaThomas… https://t.co/JKmaBFv9VP",jason_nevermore,12/1/2019 9:59,Planet Earth,"[[[-121.576613, 38.43792], [-121.362715, 38.43792], [-121.362715, 38.6855236], [-121.576613, 38.6855236]]]"
"RT @soompi: #ParkJinYoung Reveals Which Of His Songs Generate Most Royalties + Inspiration Behind Hits From #WonderGirls, #Rain, And #2PM
h…",momojojonotti,12/1/2019 9:59,T T,-
"A Rain Swept Moment In Malaga, Spain...
🇪🇸☔️🌧😍 #malaga #instagram #photography #instagay #follow #followback #daily… https://t.co/DTIAYvboAu",JONJFOY1,12/1/2019 9:57,Belize,"[[[-4.5879284, 36.6355853], [-4.2601339, 36.6355853], [-4.2601339, 36.8941705], [-4.5879284, 36.8941705]]]"
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",Subhash97228774,12/1/2019 9:56,,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",VedPrak41326342,12/1/2019 9:48,Agra,-
"RT @soompi: #ParkJinYoung Reveals Which Of His Songs Generate Most Royalties + Inspiration Behind Hits From #WonderGirls, #Rain, And #2PM
h…",LoveCof36948314,12/1/2019 9:47,,-
"RT @BRAJBHANDAS1234: #BrahmaKumaris_Expose
#rain
So you all request must think what is the right path for doing real Supreme God worship.
T…",KrishDa22871225,12/1/2019 9:43,,-
"RT @misayeon: TWICE’s spoilers for their performance on MAMA 2019:
1️⃣ #RAIN 
2️⃣ #VOICE 
3️⃣ #FANTASTIC

What kind of special stage will t…",David_Saida,12/1/2019 9:43,,-
"RT @oranxaib: #سازشیں_ناکام_جیتا_عمران
PM @ImranKhanPTI took a dig at #PPP's @BBhuttoZardari over the latter's #Rain🌧 theory, ""Jub Baarish…",EhsonZaidi,12/1/2019 9:40,"Kakamigahara-shi, Gifu",-
"RT @LuzPenaABC7: #Rain | ‘I'm lucky to be alive': Active power line lands on man's car in windy San Francisco

Full story: ⬇️
https://t.co/…",Garyson51,12/1/2019 9:38,"California, USA",-
"RT @misayeon: TWICE’s spoilers for their performance on MAMA 2019:
1️⃣ #RAIN 
2️⃣ #VOICE 
3️⃣ #FANTASTIC

What kind of special stage will t…",KailaniNeva,12/1/2019 9:36,,-
RT @ManitaK_IFS: 4 days...1200 kms... #Bikeride #Nature #rain #Himachal #Uttarakhand #kangra #dehradun #fog #sunrise https://t.co/F67b8cS4r0,RT_Himachal,12/1/2019 9:35,"Himachal Pradesh, India",-
RT @In_the_Pix: During the storm! #rain #storm #StormHour #weather https://t.co/cMsGfMSrru,StormHour,12/1/2019 9:35,The Atmosphere,-
