Tweets,Username,Created_at,User location,Coordinates
The awfulness has started. Just heard Noddy Holder and it’s still November. #ihatechristmas #slade #awful #christmasnightmare #badmusic,bacchaneury,11/29/2019 9:57,"Harwich, Essex, UK.",-
@CitySSNYC I guess no response?? #poorcustomerservice #citysightseeing #letdown #noresponce #awful,KateJones02,11/29/2019 8:27,Cardiff,-
"@HP I *was* trying to buy a laptop during your sale, but needed help. I chatted with Hilda, Christy, and Lucy and A… https://t.co/0lpS7kk91q",w8lifter,11/29/2019 6:28,,-
RT @derby_lad: .@Morrisons Ilkeston is the worst stocked supermarket you’ll ever go to. #awful,Im_Cheaper_,11/29/2019 5:27,,-
"Every single @AtlantaFalcons offensive lineman should be released. Like, tonight.  Every. Single. One. #awful",losbrad,11/29/2019 4:35,"Rochester, MN",-
"@UPS @UPS_Canada even the housing, wtf is it for, to torture me more, why bother #horrible #awful #Thanksgiving… https://t.co/U4ZxRLw8Q9",MichaelTripper,11/29/2019 4:23,,-
@ClayTravis I am a cowboys fan but I agreee with 100%!! #awful,jsquared64,11/29/2019 3:49,,-
@thehill So many offences being carried out by children these days because they have no fear of the consequences. #awful,SoloFlow786,11/29/2019 3:47,,-
@crissy_froyd Will live in infamy !! #awful #EggBowl,SportsFanatic62,11/29/2019 3:45,"Sacramento, CA",-
"#AWFUL. Fake News HA HA !..Newsweek Slams President Trump for Golfing, Tweeting, More... While At Same Time He Land… https://t.co/hVPJQi2MZv",tonyspam,11/29/2019 0:49,,-
Hey @hulu next update....can ya make it user friendly or easy to use???? Pathetic SMFH #awful,BaldEagleAEL,11/29/2019 0:44,"Boston, Ma ",-
"@AdamSchefter @WerderEdESPN If Jerry Jones ever wants to be considered a real GM, he doesn’t let him take a mike to… https://t.co/t0lYEOtxOt",Bigsky1014keegs,11/29/2019 0:30,United States,-
These #nfl refs are so bad. He definitively said the receiver got two feet in and it wasn't even close. #awful,DHEupdates,11/28/2019 23:54,MI,-
Too bad she didn't #awful https://t.co/YWB41TZ7fM,cowboysdallas21,11/28/2019 23:53,,-
"So: for a journey scheduled to endure for 2h 42m out of PAD on the 1822 departure, you @GWRHelp have managed to get… https://t.co/itXy2LB5v9",jmrose71,11/28/2019 23:19,,-
@Freddie_Farrell Ellie Pissing Goulding!!! #awful,brettellis1982,11/28/2019 23:14,Birmingham,-
RT @NajmaRashid5: Absolutely unacceptable customer service @PostOffice in Whitechapel. I was spoken down to by the manager and treated like…,jas_H2,11/28/2019 22:12,,-
@hunkyscot45 @jeremycorbyn @BorisJohnson If you watched the debate it should give you a clue why he didn’t turn up #awful,MikeArt77,11/28/2019 21:23,"Northern Ireland, UK",-
"@ErikLambert1 Fair catch on the 8 yd line. Tarik. My God. 
#Awful",JasonBuske,11/28/2019 20:26,"Iowa, where else?",-
@virginmedia over an hour on hold trying to cancel my services. The lowest of the low tactics at play? #awful,Dancurtis87,11/28/2019 20:23,Bristol,-
"@Vegebutcher nope not a good name and would  not want anything  tasting or looking like meat, anything  with butche… https://t.co/9OlOzX2iX8",jaynees64,11/28/2019 20:19,"North West, England",-
@MikePereira how is this not rtp? Bogarts looking right at it. #awful https://t.co/hi9Jiaajlc,chuckfattore1,11/28/2019 19:09,Chicago,"[[[-88.2595981, 41.6655839], [-88.063045, 41.6655839], [-88.063045, 41.8314084], [-88.2595981, 41.8314084]]]"
@GregOK  listening to the podcast Greg ...it's very dangerous to think these players are better than they are  showing #awful,dempster1969,11/28/2019 18:57,,-
Watching @ChicagoBears football shouldn’t be this painful. #awful #cutpiniero,JoeLaubinger,11/28/2019 18:57,"Volo, IL",-
.@Morrisons Ilkeston is the worst stocked supermarket you’ll ever go to. #awful,derby_lad,11/28/2019 17:58,,-
"RT @Zona_Buckeye: Lot of us hate on Herbie, but even wouldn't say no dumb shit like this. 

This is like a Mark May take. 

#Awful https://…",Burr7796,11/28/2019 16:55,,-
All the singing performances. This is not a damn parade. Too much lip-synching. #awful @nbc,rbmshow,11/28/2019 16:13,Tampa,"[[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]]"
"@SportsTVRatings NBA is BORRRRRING and predictable. Lebron cries for help, heists a top 5 player away from boring f… https://t.co/lCzdJ6UIFI",wiseguyinsider,11/28/2019 16:12,United States,-
Absolutely unacceptable customer service @PostOffice in Whitechapel. I was spoken down to by the manager and treate… https://t.co/AUqThQl5x8,NajmaRashid5,11/28/2019 16:10,"London, England",-
#kpop is the worst thing to happen to the Thanksgiving day parade #fuckbts #BTSxThanksgiving #awful #notalent,_MasonLee_,11/28/2019 15:41,(SW-2017),-
@IntnlTrucks what is wrong with the steering on these trucks! #awful,Locorider,11/28/2019 13:17,"Vancouver, British Columbia",-
Just heard Robbie Williams attempt at making money with an awful Christmas song...easily one of the worst songs I’v… https://t.co/uUxKBDvWJ6,Flanders03,11/28/2019 12:39,"England, United Kingdom",-
"It's the worst of all the puppy paper training materials reporting, but if true...that's just doing Poch dirty… https://t.co/Cp8fXjsXJX",SpursCanadaTor,11/28/2019 12:04,Toronto,-
RT @Drgonfly: #nba officiating @Lakers vs @pelicans #awful,davemeckes,11/28/2019 6:56,,-
@dave_dabbott35 Big yeah how’s the C2C vibes #awful #replywouldbenice #neverlearn,tommylodge96,11/28/2019 6:43,Essex,-
"RT @KiranSwagatika: (Shitnaaz) 
#Vulgarity
#Cheapness
#Disgusting
#Shitty
#Gross
#Tacky
#Disgraceful
#unacceptable
#Uncultured
#Awful
#Wort…",Attractive_Sona,11/28/2019 6:17,❣️Apni Duniya Me❣️,-
"(Shitnaaz) 
#Vulgarity
#Cheapness
#Disgusting
#Shitty
#Gross
#Tacky
#Disgraceful
#unacceptable
#Uncultured
#Awful… https://t.co/y0WrknvRZ1",KiranSwagatika,11/28/2019 6:13,"Bengaluru South, India",-
RT @garba6ee: This is the new clan? @XTracTNation #awful #terrible #stayinpubs #washyourface #crossbarwarriors https://t.co/TBr1bGkp79,fckIust,11/28/2019 5:48,ǝpuɐɹƃ ɐuɐıɹɐ,-
#nba officiating @Lakers vs @pelicans #awful,Drgonfly,11/28/2019 5:17,"Washington, DC",-
"Did Tamil Nadu become 'bribery' Nadu? Here's an awful revelation!
#TamilNadu #Chennai #BriberyAndExtortion #Bribery… https://t.co/PNMEHjzBeu",thenewstuffin,11/28/2019 4:56,"Chennai, Tamil Nadu",-
"Dear Donald @realDonaldTrump  The hair over the collar thing was retired in 1988, latest. Honestly. It’s done. For… https://t.co/y7FDw4xiK1",ewillis7,11/28/2019 4:54,,"[[[-80.0295184, 35.962623], [-79.6852086, 35.962623], [-79.6852086, 36.218171], [-80.0295184, 36.218171]]]"
RT @garba6ee: This is the new clan? @XTracTNation #awful #terrible #stayinpubs #washyourface #crossbarwarriors https://t.co/TBr1bGkp79,TGvtz,11/28/2019 4:30,,-
Ref takes them both?! Are you kidding me?! I forgot you are just supposed to let the guy basically lay on you and d… https://t.co/kk9N7997uf,benn97oilers,11/28/2019 4:29,"Edmonton, Alberta",-
@TheTeslaLife Looks like something that didn’t fully render on goldeneye for the n64!! #awful,jhinton_,11/28/2019 3:45,285 lbs to 216.8 ⬇️,-
"Check out this Yelp review for California Hotel &amp; Casino!
https://t.co/J9YLpvLgmo ⁦@thecalcasino⁩ ⁦@boydgaming⁩… https://t.co/cXoqhIkLcH",I_Am_TheCatLady,11/28/2019 1:10,,-
"@Ask_Spectrum one thing it’s certain, your WiFi and internet has to be the worst of all time in the Ashland KY area… https://t.co/Ws7wKDIchM",RiskyTennis,11/28/2019 0:51,"Lexington, KY","[[[-82.738791, 38.40689], [-82.605961, 38.40689], [-82.605961, 38.498424], [-82.738791, 38.498424]]]"
Pretty tough to beat a team when they have the refs on their team. The officiating in 1st quarter in Boston is blat… https://t.co/MzHqQ9rI5t,NetsSource,11/28/2019 0:47,Brooklyn,-
@enews They make a mockery of marriage and kids are in the mix! Hopefully she’ll learn to stand up and boss up for… https://t.co/nT70Sw9hh4,nancyljones1,11/28/2019 0:16,,-
RT @garba6ee: This is the new clan? @XTracTNation #awful #terrible #stayinpubs #washyourface #crossbarwarriors https://t.co/TBr1bGkp79,JakeyyJakee_,11/27/2019 23:28,,-
"Lot of us hate on Herbie, but even wouldn't say no dumb shit like this. 

This is like a Mark May take. 

#Awful https://t.co/DxrlQHBQo7",Zona_Buckeye,11/27/2019 23:26,Scottsdale AZ,-
RT @garba6ee: This is the new clan? @XTracTNation #awful #terrible #stayinpubs #washyourface #crossbarwarriors https://t.co/TBr1bGkp79,jaelynnwtf,11/27/2019 22:51,,-
RT @garba6ee: This is the new clan? @XTracTNation #awful #terrible #stayinpubs #washyourface #crossbarwarriors https://t.co/TBr1bGkp79,EditedHD,11/27/2019 22:13,,-
"And here comes the cover...does anyone take @Peston seriously anymore? No? Thought not. Still, at least if Johnson… https://t.co/4tI8IaDRDN",ScotIncGrowth,11/27/2019 21:34,"Here, there & everywhere",-
