Tweets,Username,Created_at,User location,Coordinates
"RT @iamkabzz1: I'm not a hardcore fan of Starwars but I love these Lego version of StormTroopers 😎
#LEGO #StarWars #TuesdayThoughts #Tuesda…",RavensNestGoths,11/30/2019 11:55,"Florida, USA",-
"RT @sabelblodgett: Seeing posts like this really makes my day. 
If you have ever read my books, followed me, liked posts, or given me a sho…",jtatkinson666,11/30/2019 11:55,,-
"RT @iamkabzz1: I'm not a hardcore fan of Starwars but I love these Lego version of StormTroopers 😎
#LEGO #StarWars #TuesdayThoughts #Tuesda…",rockethulsey,11/30/2019 11:52,Seattle,-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",jodieh1131,11/30/2019 11:51,"Staffordshire, UK",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",jogender_emc2,11/30/2019 11:51,"Bengaluru, India",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",DrJDrooghaag,11/30/2019 11:51,"Germany, Europe",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",NevilleGaunt,11/30/2019 11:50,UK,-
"RT @CommsExpress: How do you fancy winning an Amazon Echo Dot?

Find out how &gt; https://t.co/Ha7SgtJssV

#Win #Competition #TuesdayMotivatio…",chillijamx,11/30/2019 11:49,earth,-
"RT @SenKamalaHarris: Some #TuesdayMotivation from one of my heroes, the great Congresswoman Shirley Chisholm, who became the first Black wo…",marmcg,11/30/2019 11:46,"Brooklyn, NY",-
"RT @BethFratesMD: Thanksgiving is a great opportunity to connect with loved ones, maybe some that are distant. Here are 2 ice breakers--""Wh…",AssadickG,11/30/2019 11:38,,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,The_Cabbage101,11/30/2019 11:30,,-
"RT @MagDivina: ""Trust the Wait.
Embrace the uncertainty.
Enjoy the beauty of becoming.
When nothing is certain, 
anything is possible.""
(Ma…",CoolestM11,11/30/2019 11:29,Fitness Icon Bani J⚡,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,The_Cabbage101,11/30/2019 11:29,,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,11/30/2019 11:28,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,11/30/2019 11:28,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,11/30/2019 11:28,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,11/30/2019 11:28,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,11/30/2019 11:28,"Oxford, England",-
"RT @VerityWhoopers: Sometimes following mob doesn't make you right because God has given individual mind to each of us😊
#TuesdayMotivation",ShyamInsanVJ1,11/30/2019 11:28,"Kalyan Vihar, New Delhi",-
"RT @VerityWhoopers: ""Life is a series of thousands of tiny miracles. Notice them."" Mike Greenberg
#TuesdayMotivation",ShyamInsanVJ1,11/30/2019 11:28,"Kalyan Vihar, New Delhi",-
RT @TheSpeedSnail: @ariandersen @AhmedBaba_ #Zuckerberg is a sociopath. Which is why we need laws to regulate pretty much everything. You c…,Kate17Kazoo,11/30/2019 11:26,"Michigan, USA",-
"RT @joshuajoel_jj: Keep up the good fight ,very soon your Testimony will make News 
#TuesdayMotivation #TuesdayThoughts #rememberbyjjbako h…",joshuajoel_jj,11/30/2019 11:25,"Abuja, Nigeria",-
"RT @SafehouseVizi: Congratulations,  you are Hired. 
Congratulations,  you are approved. 
Congratulations,You passed. 
Congratulations, you…",Ayzzydrizzy1,11/30/2019 11:23,Nigeria,-
