Tweets,Username,Created_at,User location,Coordinates
"BLACK FRIDAY IS HERE! 🔣🏨

📍 Greece

🔗 https://t.co/rifQHJ6Pjh

#greece #athens #thessaloniki #corfu #mykonos… https://t.co/bP6pcLjBET",Bookgreececom,2019-11-29 08:30:57,Greece,-
"RT @aboutgreece2: Live now at #Chania, #Crete at old harbour! #travel #vacation #holidays #griechenland #Grecia #aboutgreece #grèce #Greece…",InfoliveGR,2019-11-29 04:24:22,Ελλάς,-
"Time to freshen up for the evening! Enjoy a classic decoration with modern details... 💦

#hotel #hotelbathroom… https://t.co/CtF3mKCEsL",MetropoleH,2019-11-28 13:29:37,"Heraklion, Greece",-
Things to do in #Gouves #Crete #Greece https://t.co/ibj7GSId92 … #vacation #traveling #Holidays,ConsultingTC,2019-11-26 08:40:03,World,-
"Enjoy your stay in Chania with Alcanea ,member of Aria Hotels
#AriaHotels #vacation #chania #Crete #boutiquehotel… https://t.co/NVAlQ1cUtq",AriaHotelsGR,2019-11-25 14:44:06,Greece,-
RT @gtpgr: Early Booking Offer at @CapsisEliteRsrt https://t.co/GDDzmmjJfw #earlybooking #summer #holidays #vacation #luxuryhotel #wellness…,aeon_wellbeing,2019-11-23 07:00:47,,-
Early Booking Offer at @CapsisEliteRsrt https://t.co/GDDzmmjJfw #earlybooking #summer #holidays #vacation… https://t.co/fLMqD3wPIs,gtpgr,2019-11-23 07:00:11,Greece,-
"Famous #beaches of the world: Elafonissi Beach, Greece #beautiful #beach #travel #crete #greece #vacation #comeback… https://t.co/shCBaw01Sp",blogosum,2019-11-22 14:19:36,,-
The #Heraklion Archaeological Museum in #Crete is one of the oldest and most important museums in #Greece… https://t.co/26VEJY7LmO,ConsultingTC,2019-11-21 08:40:04,World,-
My beautiful @stalis_crete so many very happy memories of Stalida. Definitely my favourite place to travel. ✈️💜🌎🏝… https://t.co/I2fXaEtLam,Harriet56507688,2019-11-20 07:09:10,Chippenham ,-
"RT @aboutgreece2: Live now at #Chania, #Crete at old harbour! #travel #vacation #holidays #griechenland #Grecia #aboutgreece #grèce #Greece…",MitchellMoffatt,2019-11-20 07:00:23,Mind from bygone,-
