Tweets,Username,Created_at,User location,Coordinates
"BLACK FRIDAY IS HERE! 🔣🏨

📍 Greece

🔗 https://t.co/rifQHJ6Pjh

#greece #athens #thessaloniki #corfu #mykonos… https://t.co/bP6pcLjBET",Bookgreececom,2019-11-29 08:30:57,Greece,-
"""At its most populated, it is estimated that 100,000 people lived in the surrounding city, including 18,000 in the… https://t.co/WLcSsUc7s8",Savvyproblogger,2019-11-29 07:35:48,,-
"""At its most populated, it is estimated that 100,000 people lived in the surrounding city, including 18,000 in the… https://t.co/0tLD5M9MT6",nextbiteoflife,2019-11-29 07:24:39,"Seville, Spain",-
RT @lizzie_hubbard2: Morning #fridaymorning 👋 I had to dig deep into the archives to find this #MorningBeautiful view of the entrance to So…,L_Moretti_Foto,2019-11-29 06:33:38,"Palermo, Sicily",-
Morning #fridaymorning 👋 I had to dig deep into the archives to find this #MorningBeautiful view of the entrance to… https://t.co/pg0b4FCD5N,lizzie_hubbard2,2019-11-29 06:27:15,Portugal,-
"RT @AboutHeraklion: Lazy Wednesdays? 
Everything is possible, if you find the right spot in #Heraklion #Crete :) 
#travel 
@TRAVELINGGREEK…",TRAVELINGGREEK,2019-11-29 04:55:14,GLOBAL NOMAD,-
"RT @aboutgreece2: Live now at #Chania, #Crete at old harbour! #travel #vacation #holidays #griechenland #Grecia #aboutgreece #grèce #Greece…",InfoliveGR,2019-11-29 04:24:22,Ελλάς,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",SocialWiz,2019-11-28 13:32:39,Cyprus / World,-
"Time to freshen up for the evening! Enjoy a classic decoration with modern details... 💦

#hotel #hotelbathroom… https://t.co/CtF3mKCEsL",MetropoleH,2019-11-28 13:29:37,"Heraklion, Greece",-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",cyprusfeed,2019-11-28 13:22:00,Cyprus,-
Waking up to this beautiful view in a private peaceful Villa is all we need for a perfect #ThursdayMorning ☀🏡… https://t.co/7KIKKK3rVN,thehotelgr,2019-11-28 08:19:26,"Crete, Greece",-
"Hyundai Creta 1.6L
Brand New
Year 2020
1.6L Diesel Engine
Automatic Transmission
Color White
#creta #greece… https://t.co/rsOgBwtRdO",MileleMotors,2019-11-28 05:37:48,"Dubai, United Arab Emirates",-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",EastMedMonitor,2019-11-27 20:09:38,EastMed/Global,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",Artem1os,2019-11-27 20:07:49,Cyprus,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",titromero,2019-11-27 19:36:50,Cyprus,-
"Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via… https://t.co/bxv433v02H",SunnyHolidays4u,2019-11-27 17:30:18,Everywhere,-
RT @jabriffa: From the archive: Leap Over the Bull https://t.co/X9XCeud5Wu #Photography #Museum #Heraklion #Antiquity #Knossos #Minoans #Gr…,Josroscam,2019-11-27 16:29:39," Malta, Europe",-
Discover a new concept of luxury care-free living thesyntopia #luxury #travel #hotel #crete #rethymnon https://t.co/jOq7SPPD5O,PRMEDIACO,2019-11-27 16:26:36,,-
From the archive: Leap Over the Bull https://t.co/X9XCeud5Wu #Photography #Museum #Heraklion #Antiquity #Knossos… https://t.co/TAWujbaeiP,jabriffa,2019-11-27 16:00:28,Malta,-
"RT @thehotelgr: Swim in the shallow crystal clear waters of Elafonisi beach!
#crete #greece #greekislands #travel #europe #beach
https://t.…",Greece_Traveler,2019-11-27 15:25:36,"England, United Kingdom",-
"RT @Frances88991403: Crete Island Great Tour 
#travel #trndnl #crete #creta #greece #grecia #summer #seaside #beach #amazing #grecia #greec…",Frances88991403,2019-11-27 11:38:29,"Napoli, Campania",-
"Crete Island Great Tour 
#travel #trndnl #crete #creta #greece #grecia #summer #seaside #beach #amazing #grecia… https://t.co/spRkPkTUA7",Frances88991403,2019-11-27 11:35:32,"Napoli, Campania",-
