travel,visit,hotel,location,location,vacation,medicine,want_raleted,restaurant,,hotel,restaurant,,health_care
move,course,room,Chania,Sfakia,holiday,care,need,eating place,,temporary,eating place,,medicine
motion,drop in,place,Chania,Paleochora,leave,healthcare,wish,eating place,,room,eating place,,healthcare
walk,meet,abode,Chania,Kissamos,break ,health,appetite,eating house,,flat,eating house,,health
trip,show,breakfast,Chania,Frangokastello,rest,care,craving,place,,house,place,,health-care
cruise,you visit,car park,Chania,Kolimbari Village,time off,health-care,demand,eating house,,hostel,eating house,,medical treatment
ride,paying a visit to,carpark,Chania,Kalyves Village,recess,medical treatment,fancy,diner,,place,diner,,care
fall,go see,at the hotel,Chania,Platanias Village,leisure,care,hankering,eatery,,home,eatery,,medicine
creep,guest,reception desk,Chania,Anopolis,vacationing,medicine,hunger,grill,,inn,grill,,health service
traversal,inspect,parking facilities,Chania,Akrotiri,holidays,health service,longing,diner,,lodge spot,diner,,medicine
go up,hit,lodging,Chania,Alikianos,sabbatical,care,necessity,eating place,,house,eating place,,medical assistance
vacation,stay,place,Chania,Deres,leave,medicine,requirement,bistro,,place,bistro,,medicine
taxi,tarry,house,Chania,Elos,break,medical assistance,thirst,eating house ,,hostelry,eating house ,,medical attention
location,continue,guesthouse,Chania,Epanochori,summer,care,absence,diner,,resort,diner,,health services
tourism,last,guest house,Chania,Gavalochori,midsummer,medicine,dearth,dinner,,place,dinner,,medical services
booking,pop in,shelter,Chania,Kalami,leave,medical attention,default,café,,house,café,,medical aid
depart,land,building,Chania,Kandanos,time recreation,health services,defect,diner ,,accommodation,diner ,,medicine
visiting,report,room,Chania,Kefali,take a holiday,care,deficiency,eating house,,house ,eating house,,medical attendance
visit,figure,residence,Chania,Kournas,holidaying. ,medical services,destitution,buffet,,place,buffet,,medical
,meeting,home,Chania,Mournies,liberty ,medical aid,exigency,eating house ,,lodge,eating house ,,medical service
,argument,flat,Chania,Papadiana,recreation,medicine,famine,eatery,,cabin,eatery,,health-related
,discussion,rooms,Chania,Rodopos,vacay,medical attendance,impecuniousness,dining hall,,boarding house,dining hall,,medical help
,drop in on,comfortableness,Chania,Rodovani,have a rest,medical,impoverishment,diner,,place,diner,,medicaid
,visit with,advance booking,Chania,Souda,take a rest,medical service,inadequacy,eating place,,restaurant in hotel,eating place,,medical insurance
,over,catering,Chania,Stylos,respite,health-related,indigence,steakhouse,,tavern,steakhouse,,health insurance
,came to visit,in a hotel,Chania,Topolia,leisure,medical help,insufficiency,eating place ,,building,eating place ,,medicine
,he visited,house,Chania,Vamos,relax,medicaid,meagerness,eating,,place,eating,,medical coverage
,make it,safe deposit box,Chania,Voukolies,take a vacation,medical insurance,neediness,hotel,,bed and breakfast,hotel,,health delivery
,make,accomodations,Chania,Vryses,vacation time,health insurance,paucity,cafeteria,,breakfast,cafeteria,,health maintenance
,inflict,located is,Chania,Loutro,spring break,medicine,pauperism,eating house ,,room,eating house ,,medicine
,haunt ,buffet table,Chania,Prases,relaxation,medical coverage,penury,eatery,,place,eatery,,health protection
,cause,until otherwise stipulated,Chania,Therissos,break off,health delivery,poorness,brasserie,,abode,brasserie,,curative care
,impose,house building,Chania,Nerokouros,stay,health maintenance,poverty,eating place,,breakfast,eating place,,medicine
,bother,steam room,Chania,Elafonisi,visit,medicine,privation,eating,,car park,eating,,public health services
