Tweets,Username,Created_at,User location,Coordinates
"RT @iamkabzz1: I'm not a hardcore fan of Starwars but I love these Lego version of StormTroopers 😎
#LEGO #StarWars #TuesdayThoughts #Tuesda…",RavensNestGoths,2019-11-30 11:55:58,"Florida, USA",-
"RT @sabelblodgett: Seeing posts like this really makes my day. 
If you have ever read my books, followed me, liked posts, or given me a sho…",jtatkinson666,2019-11-30 11:55:31,,-
"RT @iamkabzz1: I'm not a hardcore fan of Starwars but I love these Lego version of StormTroopers 😎
#LEGO #StarWars #TuesdayThoughts #Tuesda…",rockethulsey,2019-11-30 11:52:15,Seattle,-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",jodieh1131,2019-11-30 11:51:55,"Staffordshire, UK",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",jogender_emc2,2019-11-30 11:51:49,"Bengaluru, India",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",DrJDrooghaag,2019-11-30 11:51:26,"Germany, Europe",-
"RT @NevilleGaunt: Experts are mostly #CanDo people. 

When challenged they can become #WontDo stubborn and in denial if they’re not open to…",NevilleGaunt,2019-11-30 11:50:42,UK,-
"RT @CommsExpress: How do you fancy winning an Amazon Echo Dot?

Find out how &gt; https://t.co/Ha7SgtJssV

#Win #Competition #TuesdayMotivatio…",chillijamx,2019-11-30 11:49:35,earth,-
"RT @SenKamalaHarris: Some #TuesdayMotivation from one of my heroes, the great Congresswoman Shirley Chisholm, who became the first Black wo…",marmcg,2019-11-30 11:46:03,"Brooklyn, NY",-
"RT @BethFratesMD: Thanksgiving is a great opportunity to connect with loved ones, maybe some that are distant. Here are 2 ice breakers--""Wh…",AssadickG,2019-11-30 11:38:13,,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,The_Cabbage101,2019-11-30 11:30:05,,-
"RT @MagDivina: ""Trust the Wait.
Embrace the uncertainty.
Enjoy the beauty of becoming.
When nothing is certain, 
anything is possible.""
(Ma…",CoolestM11,2019-11-30 11:29:05,Fitness Icon Bani J⚡,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,The_Cabbage101,2019-11-30 11:29:01,,-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,2019-11-30 11:28:56,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,2019-11-30 11:28:53,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,2019-11-30 11:28:47,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,2019-11-30 11:28:44,"Oxford, England",-
RT @PowerDirectUK: #Free to Enter @PowerDirectUK #Competition #Giveaway... Simply #RT and #Follow for a chance to #Win a Breville 3 Litre P…,ComperHobbit,2019-11-30 11:28:29,"Oxford, England",-
"RT @VerityWhoopers: Sometimes following mob doesn't make you right because God has given individual mind to each of us😊
#TuesdayMotivation",ShyamInsanVJ1,2019-11-30 11:28:26,"Kalyan Vihar, New Delhi",-
"RT @VerityWhoopers: ""Life is a series of thousands of tiny miracles. Notice them."" Mike Greenberg
#TuesdayMotivation",ShyamInsanVJ1,2019-11-30 11:28:14,"Kalyan Vihar, New Delhi",-
RT @TheSpeedSnail: @ariandersen @AhmedBaba_ #Zuckerberg is a sociopath. Which is why we need laws to regulate pretty much everything. You c…,Kate17Kazoo,2019-11-30 11:26:28,"Michigan, USA",-
"RT @joshuajoel_jj: Keep up the good fight ,very soon your Testimony will make News 
#TuesdayMotivation #TuesdayThoughts #rememberbyjjbako h…",joshuajoel_jj,2019-11-30 11:25:12,"Abuja, Nigeria",-
"RT @SafehouseVizi: Congratulations,  you are Hired. 
Congratulations,  you are approved. 
Congratulations,You passed. 
Congratulations, you…",Ayzzydrizzy1,2019-11-30 11:23:31,Nigeria,-
RT @TheSpeedSnail: @ariandersen @AhmedBaba_ #Zuckerberg is a sociopath. Which is why we need laws to regulate pretty much everything. You c…,Mommypirate2,2019-11-30 11:22:40,adrift,-
"RT @Jayanth_tweets: You earn a living to live well, not to kill yourself with stress. - Sg
@SadhguruJV conducts Isha Yoga Programs in #Chen…",pavankumar_gvr,2019-11-30 11:10:00,"Chennai, India",-
"RT @RedmenAcademy: Competition!! 

For your chance to win this signed Steven Gerrard framed shirt, complete with certificate of authenticat…",kstafford70,2019-11-30 11:06:32,,-
"RT @RedmenAcademy: Competition!! 

For your chance to win this signed Steven Gerrard framed shirt, complete with certificate of authenticat…",joannem1970,2019-11-30 11:06:27,UK,-
"RT @SwamiGeetika: This is how JNU students manhandled CRPF jawans during their protest

Who gave them the right to make a complete mockery…",rajak_my,2019-11-30 11:02:45,"Kolkata, India",-
RT @yazzyss: #Sale #kids #jewellery 50% OFF  #cute &amp; sophisticated jewellery for kids. But of course also WOW fashion jewelery for adults #…,yazzyss,2019-11-30 11:00:57,"Weiswampach, Luxembourg",-
RT @BookRecommenda3: Nominated #CostaBookAwards OnChapelSands by LauraCumming #book #books #BookBoost #booklover #BookRecommendation #Monda…,chrisderrick1,2019-11-30 10:58:57,Hertfordshire UK,-
"RT @EssaysAgrade: Essay Writing Services ‼
Are you Looking for good grades? Well, look no further. We do all online classes work at a frien…",EssaysAgrade,2019-11-30 10:56:36,UK/USA,-
"RT @SOMCORAZON: 🖤❄️ 
    ,,,,*Love the Smell of possibiliTy in the dAy~

    ~they Light up the Dreams* You got this?🌹 

    #MagicalDraw #…",AYDSMA,2019-11-30 10:54:18,,-
"RT @CrypcoreDotCom: As we all set out today, lets work hard and choose to make a positive difference in anything we do. 

#TuesdayThoughts…",KollolKabir,2019-11-30 10:50:13,Bangladesh,-
"RT @EVheeky: I choose #Black over #Bra 
#NoBraDay 💃💃💃💃
#TuesdayMotivation 💅 https://t.co/nJWNBDkOaj",EVheeky,2019-11-30 10:47:45,"Lagos, Nigeria",-
"RT @letsgrowhumans: ""The older you get, the more you realize it's not what happened - it's how you dealt with it.” Happy 80th Birthday, Tin…",Shikha_ZZZ,2019-11-30 10:42:07,,-
"RT @OceansBeauties: Today's Ocean Beauty : Blue Whale 

Can you believe they can take in over 10,000 gallons of sea water in one long gulp!…",leclatement,2019-11-30 10:37:28,"La Ravoire, France",-
"RT @Om37076142: Fuck the System

#educacion #school #system 
#internationalwomensday #olympics #pets #friends #piday #worldwaterday #funny…",luzmarinamoreno,2019-11-30 10:36:21,SUO TEMPORE,-
"RT @Om37076142: Fuck the System

#educacion #school #system 
#internationalwomensday #olympics #pets #friends #piday #worldwaterday #funny…",DuPouvoirDachat,2019-11-30 10:29:59,,-
"RT @CommsExpress: How do you fancy winning an Amazon Echo Dot?

Find out how &gt; https://t.co/Ha7SgtJssV

#Win #Competition #TuesdayMotivatio…",shonamackie,2019-11-30 10:29:44,"Huntly, Scotland",-
"RT @Critter249: https://t.co/bscYkUugXX
#Pearl #Bracelet and #Earrings Set #Red and White #Handmade #Jewelry  #Christmas #Winter #Gifts htt…",CapeCodGiftShop,2019-11-30 10:29:37,"Fargo, ND",-
RT @JenkynLisa: Awesome to see so many lovely people @CBNLondon this afternoon. There were twice as many people there that you can see in t…,autismdan,2019-11-30 10:28:39,"Southsea, England",-
RT @SierraClub: ICYMI: Victory! Another Year Passes With No Arctic Refuge Drilling Leases https://t.co/2ypytB86A5 #ProtectTheArctic #Tuesda…,688TUG,2019-11-30 10:27:22,,-
"RT @RedmenAcademy: Competition!! 

For your chance to win this signed Steven Gerrard framed shirt, complete with certificate of authenticat…",LFC_PaulS,2019-11-30 10:26:33,"Liverpool, England",-
"RT @c_ewenike: *If I  ever meet any of those avatars like mbah and #gloryosei  inna lift ima legit do this shii to em no cap😂😫
#TuesdayMoti…",Rashaveen,2019-11-30 10:25:59,Nigeria,-
"RT @c_ewenike: *If I  ever meet any of those avatars like mbah and #gloryosei  inna lift ima legit do this shii to em no cap😂😫
#TuesdayMoti…",tafari_ru,2019-11-30 10:25:43,Ku gasozi ka kure,-
Let's #talk #turkey: I'm #thankful we're so #stuffed full of #opportunity at Premise! Visit our #website or #apply… https://t.co/5A4Zeo3GYI,premiselaura,2019-11-30 10:18:28,"Indianapolis, IN",-
"Fuck the System

#educacion #school #system 
#internationalwomensday #olympics #pets #friends #piday #worldwaterday… https://t.co/ZPboCYioB8",Om37076142,2019-11-30 10:14:31,Everywhere,-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",bestsweeps,2019-11-30 10:11:08,,-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",laurajroach,2019-11-30 10:10:38,"Cardiff, Wales",-
RT @CandRGroup: Another testament to the fact that investing without an education and research will ultimately lead to regrettable investme…,obaga_winnie,2019-11-30 09:52:19,,-
RT @CandRGroup: How do you define success? #TuesdayMotivation https://t.co/6ZZqcJcSZ2,obaga_winnie,2019-11-30 09:46:15,,-
RT @ballet4lifeuk: #TuesdayMotivation - celebrating 15th Anniversary! Why not #dance w/ us today? #Over50  #ballet #silverswans +dance fitn…,Movein2Welbng,2019-11-30 09:43:01,"Ealing, London",-
"RT @SonyMusicSouth: The awe-inspiring #Idharkuthaan from #Bigil! 👑

Click play now for a dose of #TuesdayMotivation ➡️ https://t.co/hdWzsW8…",Kutraleesh1,2019-11-30 09:40:49,"Kanchipuram, India",-
"RT @SmartMediaEnte2: We are the boysu Remix Song 👇

https://t.co/0CBmuwB4FA

👆 Exclusive 👆
#Kavin #kavinarmy #Losliya #LosliyaArmy #Sandy #…",rossisandy11,2019-11-30 09:39:58,chengalpet,-
"RT @RedmenAcademy: Competition!! 

For your chance to win this signed Steven Gerrard framed shirt, complete with certificate of authenticat…",FairlyGirly,2019-11-30 09:35:09,,-
"RT @Avni39266329: #TuesdayMotivation
Who taught himself to kill a lifeless creature, became a master of his own free will and says, God is…",RanbirD33097338,2019-11-30 09:32:02,,-
RT @dsavagge_: 🚨🚨‼️Drip Baby drops on Christmas‼️🚨🚨 @Az_Cohen @coachk44 @qcm_p @1GunnaGunna @youngthug @300 #TuesdayMotivation #TuesdayMorn…,JustinF_01,2019-11-30 09:27:24,,-
RT @dsavagge_: 🚨🚨‼️Drip Baby drops on Christmas‼️🚨🚨 @Az_Cohen @coachk44 @qcm_p @1GunnaGunna @youngthug @300 #TuesdayMotivation #TuesdayMorn…,dsavagge_,2019-11-30 09:25:08,"Augusta, GA",-
RT @dsavagge_: 🚨🚨‼️Drip Baby drops on Christmas‼️🚨🚨 @Az_Cohen @coachk44 @qcm_p @1GunnaGunna @youngthug @300 #TuesdayMotivation #TuesdayMorn…,ImajFranklin3,2019-11-30 09:24:02,"Kennesaw, GA",-
"RT @CoreDev_USA: “Be the change that you wish to see in the world.” ― Mahatma Gandhi
.
.
@solar24news #solar24news #TuesdayMotivation #Tues…",Its_me_idinesh,2019-11-30 09:21:14,India,-
"RT @holybibletoday: #Prayer

Now &amp; forever,

Thank you for undue love, God
Thank you for undue care, God
Thank you for undue help, God
Than…",princeolbum,2019-11-30 08:52:15,"Lagos, Nigeria",-
"RT @Snishaa2: Good Morning Friends💞
Happy #Tuesday
Keep Your Circle Positive🌸
SPEAK GOOD WORDS!
THINK GOOD THOUGHTS!
DO GOOD DEEDS!
#GoodMo…",TravelVideo_,2019-11-30 08:41:49,,-
"RT @SonyMusicSouth: The awe-inspiring #Idharkuthaan from #Bigil! 👑

Click play now for a dose of #TuesdayMotivation ➡️ https://t.co/hdWzsW8…",kruba97,2019-11-30 08:37:02,,-
"RT @ADanielsMusic: Ladies and Gentleman, on saxophone tonight, the one and only, Mr @SaxBarrister 🎷- The One is available in all good music…",saxbarrister,2019-11-30 08:36:26,"Lagos, Nigeria",-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",lostinlincs,2019-11-30 08:32:38,Lincolnshire,-
RT @MaveleWorldWide: Myself alongside @KTAKING2 @Ramollo_Mazda doing magic at CLX ultimate party. Le rona re beha #SesothoFashioneng shout…,MapluzaH,2019-11-30 08:30:18,"Alberton, South Africa",-
"RT @shivanijaipur: #GodMorning_MeatEaters
Those who eat meat are destined to hell. There is no provision of eating meat in any of our scrip…",dagar_munesh,2019-11-30 08:28:12,,-
"RT @mayovu1: Where the fight started . #amapiano #prettygirlsloveamapiano 
#MondayMorning #MorningLive #TuesdayMotivation #WednesdayVibes #…",Pinky_Zungu,2019-11-30 08:27:35,richmond,-
RT @HannahJaneAllen: Everyone else out there writing in their spare time - how do you keep motivated when life+work are particularly all-co…,_pastelpumpkin_,2019-11-30 08:26:26,United Kingdom,-
RT @Suzanneromance: Sometimes love can be a heavenly hell.  https://t.co/qRb83uZPww #RomanceReaders #WritingCommunity #psychology #unconven…,bigtickHK,2019-11-30 08:22:43,"Sydney, New South Wales",-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",LaaMoii,2019-11-30 08:18:32,🇬🇧,-
"What would you do if I dropped my robe? 😉➢➢
🤓💀 #عليالسلامه
 #TuesdayMotivation
 #粉塵爆発
 https://t.co/cvcIE2Q4NA",Arud2783,2019-11-30 08:16:54,,-
"RT @PALSprograms: Happy season finale!! Now feast your eyes upon these positively radical PALS getting👏work👏done👏

#palsprograms #pals #dow…",juliana_portoni,2019-11-30 08:10:11,,-
RT @CityCalling: Your CV plays a key part in the search for your next role. Here are our top tips for what a CV should include. https://t.c…,MyLoc_Tracker,2019-11-30 08:09:12,World Wide,-
"RT @arandamdphd: You are #awesome #amazing so #empathetic to others #mycaringfriends 🙌🏽
Don't change 
Be #yourself #love #life 
Make the 🌎…",RedBizzle131,2019-11-30 08:02:15,"Tra Riverz, MI",-
"RT @arandamdphd: You are #awesome #amazing so #empathetic to others #mycaringfriends 🙌🏽
Don't change 
Be #yourself #love #life 
Make the 🌎…",TheKartel_DKK,2019-11-30 08:02:09,,-
"RT @arandamdphd: You are #awesome #amazing so #empathetic to others #mycaringfriends 🙌🏽
Don't change 
Be #yourself #love #life 
Make the 🌎…",arandamdphd,2019-11-30 08:00:36,"California, USA",-
"RT @OfficeOfSDhotre: 💁‍♂️Helping your #startups to get started! 
Mentorship is critical for the right foundation for building a successful…",Narayan1814,2019-11-30 07:51:57,,-
"RT @AbramsChronicle: 💙 Competition time 💙 

#RT and follow for a chance to #win a copy of #SofiaValdezFuturePrez! This amazing book also co…",ChatteringKate,2019-11-30 07:46:58,West Midlands,-
"RT @RedmenAcademy: Competition!! 

For your chance to win this signed Steven Gerrard framed shirt, complete with certificate of authenticat…",ferryglows,2019-11-30 07:45:26,"Birmingham / London , England",-
"RT @Horluwartoyeen: Good morning Twitter
Mo tun ti gbede oo
To all OAU Alumni convocating this December, this is for you.
.
.
Comman thank…",UgopeterUche,2019-11-30 07:43:21,Nigeria,-
"RT @MobilePunch: Don’t steal public money, Ribadu advises public servants
https://t.co/heawqEe8nQ
#TuesdayMotivation",visconti007,2019-11-30 07:34:53,"Lagos,Nigeria ",-
RT @BookRecommenda3: Nominated #CostaBookAwards OnChapelSands by LauraCumming #book #books #BookBoost #booklover #BookRecommendation #Monda…,rockethulsey,2019-11-30 07:31:47,Seattle,-
RT @BookRecommenda3: Nominated #CostaBookAwards OnChapelSands by LauraCumming #book #books #BookBoost #booklover #BookRecommendation #Monda…,Michelebourke1,2019-11-30 07:31:03,Suffolk UK,-
"RT @Anelekingston: Morning Mzansi

Please support us we do indoors and outdoors events, birthdays, anniversaries, graduation and weddings D…",Bonolo_33,2019-11-30 07:28:43,Lesotho,-
"RT @boomzy1231: 🦃🐤🐥🐦All good things are wild and free🕊️🐧🐦🐥

💓 My happiness stone art painting 🤗💓

#TuesdayThoughts 
#TuesdayMotivation 
#my…",vikashvikash84,2019-11-30 07:28:30,,-
