Tweets,Username,Created_at,User location
"Just #beach and #sun? 
Well, no #Greek #summer is complete without trying #grapes and #figs found in the #fields an… https://t.co/phk8tESw46",Avghi_CreteGR,8/23/2019 9:30,Crete
A stunning sunset this evening in port in #Chania from our @PrincessCruises ship 😊 @chaniapost @visitchania… https://t.co/x80q1ISicd,GillPrincePhoto,8/22/2019 19:21,Milton Keynes
"Cressa Ghitonia Village.
Member of Aria Hotels
#BoutiqueHotel #AriaHotels #VisitGreece #crete#visitcrete#vacation#h… https://t.co/YANU9janH0",AriaHotelsGR,8/22/2019 10:07,Greece
Lounging by the pool reading after another exhausting day swimming at the lake in @VisitCRETE when the Chinese fami… https://t.co/HaNNgIp307,NASBM69,8/21/2019 16:19,"Ealing, London"
"Let's discover !
.
 #grèce🇬🇷 #visitcrete #arkadimonastery #crète #travelphotography #cretegreece  #blogvoyage… https://t.co/EOlzOnW3Jw",JefLive,8/21/2019 15:22,Paris
"#Crete is the perfect destination for all kinds of travellers. With this blog post, we would like to give you an id… https://t.co/W6saqHznXe",SeaBookings,8/20/2019 21:40,"Algarve, Portugal"
"Just #beach and #sun? 
Well, no #Greek #summer is complete without trying #grapes and #figs found in the #fields an… https://t.co/phk8tESw46",tipsandtoescy,8/20/2019 18:35,Cyprus 
"Top things to do in Chania, Crete with kids [AD] https://t.co/vvVKSB5Hj1 #travel #familytravel #VisitCrete https://t.co/j9T2fy6tju",TinBoxTraveller,8/20/2019 18:28,"Devon, UK"
Mala Villa is always there to welcome you and offer you the traditional hospitality!!! Book now and benefit from ou… https://t.co/f94ZPPX23q,hotelsierapetra,8/20/2019 9:56,"Κρήτη, Ελλάς"
A place to be #crete #Summer2019 #visitcrete #islandcrete #holidayingreece https://t.co/tw3gVvcBTL,Vaniedescott,8/19/2019 15:52,crete island Gr
@rozya @VisitCRETE Ah yes. Then I risk having an over tired meltdown 😂,NASBM69,8/19/2019 11:42,"Ealing, London"
@NASBM69 @VisitCRETE Sounds ideal! Although remember.. too many daytime naps and you won’t sleep tonight!,rozya,8/19/2019 10:15,Walthamstow
It’s official @rozya I’m regressing to being a baby. After leisurely breakfast on our terrace and a little swim in… https://t.co/Gl6t8f2aJn,NASBM69,8/19/2019 9:31,"Ealing, London"
Looking ahead to Cape Crocodile on the E4 trail to Sougia. Picture taken right east of Gialiskari Beach. It's the b… https://t.co/Oja7qrNucF,Gustav_28,8/18/2019 14:13,Norway
"Sunset time
#myheraklion #mycrete #myisland #sunset #sunset_pics #sunsetlover #sunrise_sunsets #sunsetbeach… https://t.co/PQhHL3Hvtz",SifakiMaria,8/18/2019 9:11,"Crete, Greece"
The beautiful narrow streets of Chania old town from... another point of view!! #chania #crete #greece #creteisland… https://t.co/jCWdLratgY,GsChania,8/17/2019 18:53,"Χανιά, Ελλάς"
"Our review of Kiani Beach - an all inclusive family resort in Crete, including what we thought of the kids club, po… https://t.co/mAqDs3Ad0w",TinBoxTraveller,8/17/2019 0:48,"Devon, UK"
An absolutely stunning August full moon above Chania old town!! #chania #crete #greece #creteisland #oldtown… https://t.co/wMZMH7nFt7,GsChania,8/16/2019 18:56,"Χανιά, Ελλάς"
Happy 15th of August! The most important religious celebration of the greek summer! #crete #greece #creteisland… https://t.co/9jAsoNoY6F,GsChania,8/15/2019 16:57,"Χανιά, Ελλάς"
"Top things to do in Chania, Crete with kids [AD Press Trip] https://t.co/vvVKSB5Hj1 #travel #familytravel… https://t.co/kggyrzkpYS",TinBoxTraveller,8/15/2019 10:46,"Devon, UK"
Nearly full moon over the empty Sitia beach   #beachlife #sitia #visitcrete #instacrete #summermoon… https://t.co/p9VMXazZIW,PloimonApts,8/15/2019 5:48,"Siteia, Greece"
"𝐖𝐢𝐧𝐞𝐃𝐚𝐫𝐤𝐒𝐞𝐚 𝐕𝐢𝐥𝐥𝐚𝐬 🇬🇷
.Wine Dark Sea Luxury Villas in Crete is a vacation destination and experience all by itself.… https://t.co/WcRFQkOG1N",WinedarkseaV,8/14/2019 15:46,
"Do you reckon this boat will make it across the bay?! 😉.
.
.
.
.
.
.
.
.
#blacknwhitewednesday #visitcrete… https://t.co/S3kD6dO6ru",martfo,8/14/2019 7:04,"London, UK"
"Dining with your whole family during vacation is one of those moments...In Svoronos, we thought of that! http://svoronosparos.com ➩ Since 1968 #Paros #Greece #SvoronosParos",svoronos,1/9/2019,Paros Island
"Sometimes the waves break spectacular behind the fortress of Naoussa.
By #SeniaHotelPhotography
http://hotel-senia.com ➩ ""infinite sea view experience""",svorons,1/9/2019,Paros Island
"When in Crete, visit the archaeological museum in downtown Heraklion. Outstanding collections 
of pottery, jewelry, art from the Minoans. #visitCrete#myvikingjouirney#visitgreece",miron32,1/9/2019,Paris
"Seitan Limania beach, Crete ❤ Like if you love these view! 😍
#ae_greece #seitanlimania #discoveringtheworld #visitgreecegr #across_greece #visitcrete 
#greecetravelgr #landscapephotographer",seiv,1/9/2019,"London, UK"
"Get #Dubai #visa in 24 hours, its super easy and secure with #Royaltyvacay. #Call or whatsapp us now on +2348038153… https://t.co/PxE0VnOEEC",crown_nike,12/3/2019 13:14,ABUJA NIGERIA
"RT @TomHall: Southern California

Sunset Zen on

Santa Monica Beach

[sound up]

 ☀️⛱

#Travel #Vacation #MyDayInLA #TuesdayThoughts 

http…",ArshSingh_89,12/3/2019 13:14,"नई दिल्ली, भारत"
