Tweets,Username,Created_at,User location,Coordinates
"RT @liliana_dorina: Creta,Rethymnon, Greece
Memories Of This Summer 
#Rethymnon #Crete #Greece #travelphotography #June2019 
📷#PanasonicLum…",crisistiocix,11/28/2019 4:03,"Fasano, Puglia",-
"RT @liliana_dorina: Rethymnon, Crete, Greece
September Sunset 
#Rethymnon #Crete #Greece #travelphotography #September2019 
📷#PanasonicLumi…",crisistiocix,11/28/2019 4:03,"Fasano, Puglia",-
RT @AdaSC2: #Crete is an amazing place for holidays 😊 https://t.co/L4JvUppKsl,Sepeye,11/28/2019 3:25,"Bay Area, CA. USA",-
"RT @Ethericroads: 6.58 magnitude earthquake in Crete, Greece.  #Crete #Greece https://t.co/VEhKcaUMKe",DDTlupiro,11/28/2019 0:19,,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",DDTlupiro,11/28/2019 0:02,,-
"RT @TheBrochProject: Cripes, it's #brochtee Wednesday! We love seeing Caithness Broch Project going far and wide - here's our merch being m…",astaines,11/27/2019 23:54,"Dublin, Ireland",-
"RT @TheBrochProject: Cripes, it's #brochtee Wednesday! We love seeing Caithness Broch Project going far and wide - here's our merch being m…",Ciocia,11/27/2019 23:32,"Treaty 6 land, London, Ontario",-
"RT @TheBrochProject: Cripes, it's #brochtee Wednesday! We love seeing Caithness Broch Project going far and wide - here's our merch being m…",therecycla,11/27/2019 23:31,"London, England ,UK.",-
"Cripes, it's #brochtee Wednesday! We love seeing Caithness Broch Project going far and wide - here's our merch bein… https://t.co/xuIOVfxIwS",TheBrochProject,11/27/2019 23:30,"Caithness, Scotland",-
"RT @milletworld: #Earthquake takes place at #sea between #islands of #Kythira, #Crete in south of #Peloponnese Peninsula https://t.co/5gqJW…",milletmedia,11/27/2019 22:42,Greece,-
"RT @milletworld: #Earthquake takes place at #sea between #islands of #Kythira, #Crete in south of #Peloponnese Peninsula https://t.co/5gqJW…",CinarFM,11/27/2019 22:41,Batı Trakya | Gümülcine,-
"RT @milletworld: #Earthquake takes place at #sea between #islands of #Kythira, #Crete in south of #Peloponnese Peninsula https://t.co/5gqJW…",kumanolu,11/27/2019 22:25,,-
"RT @milletworld: #Earthquake takes place at #sea between #islands of #Kythira, #Crete in south of #Peloponnese Peninsula https://t.co/5gqJW…",CengizOmer,11/27/2019 22:25,"Batı Trakya / Western Thrace, Greece",-
"Fucking around with @kristinaseverywhere.  Taking selfies. 
#traveler
#travels
#travelling 
#travelgram… https://t.co/46VX9waqed",mujabur,11/27/2019 22:13,"California, USA",-
"How we modify @Tesla Cybertruck in the Island of Crete in Greece.🇬🇷😂😂😂
@elonmusk
#Crete #Greece
#Cybertruck https://t.co/51Ixxq0NfI",pauloskriaras,11/27/2019 21:17,,-
RT @sfakia_crete: First snow of the coming winter in the White Mountains #Sfakia #Crete at Mt. Pachnes https://t.co/AAOWAmLhSa https://t.co…,atbenjaminart,11/27/2019 20:18,England,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",EastMedMonitor,11/27/2019 20:09,EastMed/Global,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",Artem1os,11/27/2019 20:07,Cyprus,-
"RT @airnewsalerts: Strong quake shakes #Greek island of #Crete 
#Earthquake #Greece
https://t.co/qwp4N5o1CY",JCitraj,11/27/2019 19:37,,-
"RT @SunnyHolidays4u: Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via @TravelLeis…",titromero,11/27/2019 19:36,Cyprus,-
"RT @liliana_dorina: Rethymnon, Crete, Greece
September Sunset 
#Rethymnon #Crete #Greece #travelphotography #September2019 
📷#PanasonicLumi…",Smile38445784,11/27/2019 19:27, (VOLOS)GREECE,-
"RT @WednyDrinks: Picking up chlorofluorocarbons on this #Crete 
 Scheurebe from Peanut Cellar - I'd still rate it 79pts",Yachting_Greece,11/27/2019 19:00,"Attiki, Greece",-
"RT @liliana_dorina: Rethymnon, Crete, Greece
September Sunset 
#Rethymnon #Crete #Greece #travelphotography #September2019 
📷#PanasonicLumi…",5weet_alpenfee,11/27/2019 18:58,✨Mond ✨,-
"Picking up chlorofluorocarbons on this #Crete 
 Scheurebe from Peanut Cellar - I'd still rate it 79pts",WednyDrinks,11/27/2019 18:50,"Country Club, FL",-
"#Earthquake takes place at #sea between #islands of #Kythira, #Crete in south of #Peloponnese Peninsula https://t.co/5gqJWn46wa",milletworld,11/27/2019 18:31,Greece,-
"Gold Hours 😍 #Crête 😎
#sunset #sunsetlover #sunset_pics #sky #sun #instalike #instamoment #instamood #picoftheday… https://t.co/SCVnoPj5lc",latribudechacha,11/27/2019 18:26,France,"[[[-0.104501, 51.518605], [-0.015834, 51.518605], [-0.015834, 51.5766844], [-0.104501, 51.5766844]]]"
"Crete may be quintessential #Greek, but just dig down a little and you'll discover its many foreign influences.… https://t.co/JwrRrEGFvn",EUTravelMag,11/27/2019 18:25,Travel with us all over Europe,-
"Mountains, sandy beaches, tradition: #Crete has something for everyone! 

Where would you go first?

📹 via… https://t.co/bxv433v02H",SunnyHolidays4u,11/27/2019 17:30,Everywhere,-
RT @jabriffa: From the archive: Leap Over the Bull https://t.co/X9XCeud5Wu #Photography #Museum #Heraklion #Antiquity #Knossos #Minoans #Gr…,Josroscam,11/27/2019 16:29," Malta, Europe",-
Discover a new concept of luxury care-free living thesyntopia #luxury #travel #hotel #crete #rethymnon https://t.co/jOq7SPPD5O,PRMEDIACO,11/27/2019 16:26,,-
From the archive: Leap Over the Bull https://t.co/X9XCeud5Wu #Photography #Museum #Heraklion #Antiquity #Knossos… https://t.co/TAWujbaeiP,jabriffa,11/27/2019 16:00,Malta,-
"Three #earthquakes hit #Bosnia, #Albania and #Crete

https://t.co/AWzbcCYJRf",Gjallarhornet,11/27/2019 15:56,"Helsingborg, Skåne Sweden",-
RT @ForageCrete: Winter has arrived in Crete and it accentuates the dramatic scenery. Let the wild greens season begin! #psiloritis #psilor…,carinegr,11/27/2019 15:53,Heraklion Crete,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",Side73Dark,11/27/2019 15:53,,-
RT @CGtnRussi: @NASA @MarsCuriosity Good morning!!! How are you doing? Gimme reports from  #Crete #earthquake #EarthquakeAlbania,b1e56df9ce6549f,11/27/2019 15:36,,-
"RT @CATnewsDE: strong and damaging #earthquake at intermediate depth offshore #Crete, #Greece, also felt in #Libya and #Turkey @ShakingEart…",YurneroHee,11/27/2019 15:35,,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",edjelven,11/27/2019 15:33,Earth,-
"RT @thehotelgr: Swim in the shallow crystal clear waters of Elafonisi beach!
#crete #greece #greekislands #travel #europe #beach
https://t.…",Greece_Traveler,11/27/2019 15:25,"England, United Kingdom",-
RT @CGtnRussi: @NASA @MarsCuriosity Good morning!!! How are you doing? Gimme reports from  #Crete #earthquake #EarthquakeAlbania,Yachting_Greece,11/27/2019 15:15,"Attiki, Greece",-
RT @MariaKaramitsos: Crete earthquake: Powerful 6.0-magnitude quake strikes Greek island https://t.co/nnvYrqWNZd via @Independent | #greece…,lebalori,11/27/2019 15:08,Lancaster pa,-
RT @CGtnRussi: @NASA @MarsCuriosity Good morning!!! How are you doing? Gimme reports from  #Crete #earthquake #EarthquakeAlbania,CGtnRussi,11/27/2019 15:06,Europe,-
@NASA @MarsCuriosity Good morning!!! How are you doing? Gimme reports from  #Crete #earthquake #EarthquakeAlbania,CGtnRussi,11/27/2019 15:06,Europe,-
No serious damage reported on #Crete after strong #earthquake @CreteRegion Stavros Arnaoutakis said… https://t.co/Li06vPIoOd,NationalHerald,11/27/2019 15:00,"Long Island City, New York",-
"RT @liliana_dorina: Rethymnon, Crete, Greece
September Sunset 
#Rethymnon #Crete #Greece #travelphotography #September2019 
📷#PanasonicLumi…",sumie_ram,11/27/2019 14:43,Japan,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",SpacemamaMaya,11/27/2019 14:36,"Germany, Bavaria",-
RT @stevenjgibbons: Magnitude 6 #earthquake in the Hellenic Arc (NW for #Crete) a couple of hours ago. Seismic data courtesy of @GFZ_Potsda…,UKEQ_Bulletin,11/27/2019 9:52,UK,-
"UPDATE 2-Quake measuring 6.0 recorded off Crete; no damage reported https://t.co/n4ifD5gfqe via @Yahoo 
#Crete Region 
#Earthquake  
#Greece",QuadeersultanM,11/27/2019 9:52,"Hyderabad, India",-
RT @NationalHerald: The strong #quake measuring 6.1 on the Richter scale recorded between the islands of #Kythera and #Crete on Wednesday i…,mead44,11/27/2019 9:50,"#Nantes, France",-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",dutchess_becky,11/27/2019 9:50,,-
"RT @YanniKouts: A 5.7R #earthquake has struck #Greece, west of #Crete a few minutes ago.",IoannaDementi,11/27/2019 9:42,"Athens,Strasbourg,Brussels ",-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",Erth53,11/27/2019 9:39,,-
RT @Terremoti7: 🔴‼️⚠️ A STRONG EARTHQUAKE MAGNITUDE 6.0 HAS STRUCK CRETE ISLAND. EPICENTER IN MEDITERRANEAN SEA AT 40 KM FROM CRETE ISLAND.…,fournokonti,11/27/2019 9:36,Λευκίμμη,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",Carolinenz59,11/27/2019 9:35,"Wellington City, New Zealand",-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",alphons45144354,11/27/2019 9:32,Vlaanderen,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",Antonio12I,11/27/2019 9:31,Italia,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",1989_mariab,11/27/2019 9:29,World,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",KilledKennyJr,11/27/2019 9:28,Woods between NY & NH,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",MARSISTANBUL,11/27/2019 9:24,,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",BKMARS1,11/27/2019 9:24,"Alaska, USA",-
"RT @YanniKouts: A 5.7R #earthquake has struck #Greece, west of #Crete a few minutes ago.",tvitermaniaks,11/27/2019 9:20,"Jurmala, Latvia",-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",GRMcKen,11/27/2019 9:17,NW England,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",_RedFrog,11/27/2019 9:17,Everywhere.,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",iceageprepping,11/27/2019 9:15,"Owensboro, KY",-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",LisburneRoad,11/27/2019 9:13,,-
RT @stevenjgibbons: Magnitude 6 #earthquake in the Hellenic Arc (NW for #Crete) a couple of hours ago. Seismic data courtesy of @GFZ_Potsda…,joaofontiela,11/27/2019 9:13,Azores,-
"RT @TheWatchers_: M6.1 earthquake hits near the coast of Crete, Greece https://t.co/EtwFhe2Ghd #earthquake #Crete #Greece",Carbongate,11/27/2019 9:11,scotland,-
"RT @VGerovasileiou: 2nd day of the @IUCNRedList Assessment Workshop on #Mediterranean #Porifera #sponges, organized by IUCN-Med and the Ins…",martix_m,11/27/2019 9:11,Dakhla,-
"RT @gmazet: M6.0 #earthquake in W #Crete.
Very few felt reports collected by @lastquake from Turkey, &gt;500 km away of the epicenter. But a l…",Randomworldthi1,11/27/2019 9:10,,-
"RT @myearthquakeapp: 6.58 earthquake occurred near Crete, Greece at 07:23 UTC! #earthquake #Crete https://t.co/ZrPLXez9kF",MarijaneGreen,11/27/2019 9:06,USA,-
The strong #quake measuring 6.1 on the Richter scale recorded between the islands of #Kythera and #Crete on Wednesd… https://t.co/Ykx22Karmt,NationalHerald,11/27/2019 9:05,"Long Island City, New York",-
