Tweets,Username,Created_at,User location,Coordinates
RT @FogCityMidge: CALIFORNIA HAS FALLEN. Slightly Offensive discusses MAGAphobia &amp; California with Fog City Midge WATCH NOW! https://t.co/Y…,POTUSFOURTYFIVE,12/2/2019 17:42,"Naples, FL",-
"RT @TribulationThe: Trump FIGHTS BACK against the DEEP STATE!

BOOM! Trump White House SLAMS DEMOCRATS — Won’t Participate in “Highly Parti…",Squill_whispers,12/2/2019 17:42,USA,-
"RT @juliansheasport: As #Trump is about to return to London, it's a good time to point out this quirk of the street plan of the City of Lon…",pricetoms,12/2/2019 17:42,,-
RT @BetteMidler: “He’s interfering with the chain of command which is trying to police its own ranks. They’re trying to clean up their act…,jakechase45,12/2/2019 17:42,"Vicenza, Veneto",-
RT @LadyRedWave: Remember when #Libs LOVED @POTUS @realDonaldTrump? I guess that was BEFORE they got their marching orders to DESTROY #Trum…,Jim92282855,12/2/2019 17:42,"Florida, USA",-
RT @votesamuelwill1: The 2020 political season is in full swing. Please help get the down ballot candidates funded so that President #Trump…,ckkirsch1,12/2/2019 17:41,,-
"Get ready to drink toxic #frack water.

#Trump's @EPA rolling back clean water safeguards so oil and gas industry c… https://t.co/ZDfx6GAs2U",ClimateWest,12/2/2019 17:41,American West,-
#Trump the #Dow follow #BTD current results update: https://t.co/UokBHsdq54 https://t.co/ze1Kd6262n,bm93100,12/2/2019 17:41,USA / Europe,-
GOP Senator Parrots Putin Talking Points | Morning Joe | MSNBC #USA #Trump https://t.co/efNbNwAovq,DennisKoch10,12/2/2019 17:41,Edmonton Alberta,-
President Trump's approval rating among business owners hits all-time high @CNBC #Trump #approval #ratings… https://t.co/YBCVBHSfbo,MichaelOngRisk,12/2/2019 17:41,,-
RT @LadyRedWave: Remember when #Libs LOVED @POTUS @realDonaldTrump? I guess that was BEFORE they got their marching orders to DESTROY #Trum…,MarcelynJandre1,12/2/2019 17:41,Panama,-
"RT @lori_go: @realDonaldTrump @SenJohnKennedy @POTUS used #Taxpayer $$ to #Extort a FAKE INVESTIGATION from #Ukraine, so he could CHEAT in…",ArenasJoseLuis4,12/2/2019 17:41,"Guadalajara, Jalisco",-
RT @adamquinton: @SethAbramson We all knew #Trump was lying when he talked about this ... because his lips moved.,windsongbreeze3,12/2/2019 17:41,,-
RT @Doks_Art: Hello. I'm a hyperrealistic ballpen artist. Please RT still the president sees this #ff #followback #photograghy #Trump #Pres…,HiattPshiatt,12/2/2019 17:41,,-
"300+ Trump ads taken down by Google, YouTube https://t.co/MdFTIC8UMr #Asshole #Trump #p2 #USA #Democrats #VOTE #VoteBlue2020",UwuaMan,12/2/2019 17:41,"Pittsburgh, PA",-
"RT @usatodayopinion: #Trump #impeachment: House Republicans have a final chance to put the nation first, says @RepSwalwell. https://t.co/Iy…",Connie356,12/2/2019 17:41,"Kansas, USA",-
RT @mterr337: It's bad enough we have Republican lawmakers who enable #trump... it's disgraceful we have a Democratic Congressman who enabl…,gconnor1952,12/2/2019 17:41,,-
"@realDonaldTrump @POTUS #TrumpSupporters:
1) Pres had zero interest in @NATO when it benefited YOU (improved US sec… https://t.co/j5MJgwlP96",djstreich,12/2/2019 17:41,"California, USA",-
#LisaPage @Pontifex #Zelensky #Trump @Charles_HRH COULD RESET ENTIRE PLANET IF ANY OF THEM WANTED. Who'll use their… https://t.co/LTButWHdSB,JohnCordBooks2,12/2/2019 17:41,"Reno, NV",-
"@BorisJohnson_MP As #Trump is about to return to London, it's a good time to point out this quirk of the street pla… https://t.co/GAIH9Vf7l9",juliansheasport,12/2/2019 17:41,London,-
"""No wonder more minorities are supporting President #Trump and the #GOP, both of whom still favor charter schools."" https://t.co/hpmTEsNfNe",Congrats_USA,12/2/2019 17:41,,-
"RT @AndyOstroy: @realDonaldTrump @SenJohnKennedy Shame on u, @SenJohnKennedy. Bc THIS is what it's clearly all about: kissing #Trump's corr…",mitchhorwitz56,12/2/2019 17:41,"Pennsylvania, USA",-
"RT @UnstrippedVoice: VIDEO THREAD: 

After @Tip, @KatrinaPierson, and @RealCandaceO get into it about #Trump's moves ... @KillerMike steps…",hermescash,12/2/2019 17:41,"Mwanza, Tanzania",-
#Trump complains about #impeachment hearing during #NATO trip https://t.co/It3ekF59FJ,AnnaharEn,12/2/2019 17:41,Downtown - Beirut - Lebanon,-
"RT @AndyOstroy: Right. “God” sent @realDonaldTrump here to bang porn stars, grab pussies, sexually assault women, mock disabled people, lie…",atalknut,12/2/2019 17:41,,-
RT @BigJimLedbetter: Voter Poll: Do You Think Donald Trump Deserved A Second Term? https://t.co/RCcKVqHUjh #MAGA #TCOT #CCOT #Trump #News #…,Molly82701878,12/2/2019 17:41,,-
"RT @VotingFemaIe: Lisa broke the law. Now the law will break Lisa.

#MAGA 🇺🇸 #Trump #NRA #txlege #akleg #akpol #ohpol #ohleg #ncpol #lagov…",TeamTrumpTeX,12/2/2019 17:41,"Texas, USA",-
RT @LadyRedWave: Remember when #Libs LOVED @POTUS @realDonaldTrump? I guess that was BEFORE they got their marching orders to DESTROY #Trum…,ninashout,12/2/2019 17:41,United States,-
"RT @Wyn1745: .@realDonaldTrump WE'RE GOING TO START SING MERRY CHRISTMAS AGAIN!😆😆😆
MERRY CHRISTMAS EVERYBODY...

#Trump #Trump2020 #Trump20…",Lorenzo13112,12/2/2019 17:41,Tx...,-
#Trump lawyers. https://t.co/hONUFunkX3 https://t.co/cLrssoHwBn,KlobucharNj,12/2/2019 17:41,"New Jersey, USA",-
RT @AndyOstroy: So @realDonaldTrump finally gets his corrupt treasonous ass to Afghanistan and what does he do? He whines like a weak feckl…,TraciBreazeale,12/2/2019 17:40,"Texas, USA",-
"RT @lori_go: @realDonaldTrump @SenJohnKennedy @POTUS used #Taxpayer $$ to #Extort a FAKE INVESTIGATION from #Ukraine, so he could CHEAT in…",lori_go,12/2/2019 17:40,USA,-
"Full Kennedy: On Fiona Hill’s Warning On Russia, She Is 'Entitled To Her Opinion' | Meet The Press #USA #Trump https://t.co/yHYWVm8jGe",DennisKoch10,12/2/2019 17:40,Edmonton Alberta,-
"These tweets sure sound like some other very paranoid,guilty man! I’m not sure #Trump tweet writers didn’t advise… https://t.co/1P7lTCK9UX",BernieConnor9,12/2/2019 17:40,,-
"RT @silver_fox9: Boom, boom,boom!!
The @TheDemocrats are in so much trouble!!
#winning 
#Trump https://t.co/ZiV0AvLUFq",JamesTouchet4,12/2/2019 17:40,,-
RT @idigmines: #Trump economy makes the RICH richer and the rest of us POOR. Record stock prices only benefit the top 10% wealthiest who ow…,da_cubster,12/2/2019 17:40,"Chicago, IL",-
"Hey #Obama, this huge booming #economy...... you didn't do that! It was all #Trump! #KAG2020",Smittybuilt5,12/2/2019 17:40,United States,-
"RT @seery_o: Israel approves new settlement, orders #Hebron market bulldozed .This is all done with the backing of #Trump and his recent il…",brookebay21,12/2/2019 17:40,Cardiff,-
"#Donald #rolling around #on the #floors of #OvalOffice, #belittling the #decor treasures, ""ours is betters."" when d… https://t.co/a1A93I3rhH",Littlelittles17,12/2/2019 17:40,"Denver, Co",-
RT @Redhead4645: .@GovKemp u fear Stacy Abrahams @RepDougCollins is the man for the job ! U betrayed @POTUS going against his suggestion! G…,lpeccleston,12/2/2019 17:40,Texas,-
"RT @Wyn1745: .@realDonaldTrump WE'RE GOING TO START SING MERRY CHRISTMAS AGAIN!😆😆😆
MERRY CHRISTMAS EVERYBODY...

#Trump #Trump2020 #Trump20…",Trmped,12/2/2019 17:40,,-
"RT @TheLastAesir: For all WHO believe in our CREATOR, consider the ENEMIES TACTICS that ENSLAVE your SOULS

https://t.co/rf1tKW04lY

#Chris…",baconised,12/2/2019 17:40,"Bedford, MA",-
