Tweets,Username,Created_at,User location
"Just #beach and #sun? 
Well, no #Greek #summer is complete without trying #grapes and #figs found in the #fields an… https://t.co/phk8tESw46",Avghi_CreteGR,2019-08-23 09:30:05,"Κρήτη, Ελλάς"
A stunning sunset this evening in port in #Chania from our @PrincessCruises ship 😊 @chaniapost @visitchania… https://t.co/x80q1ISicd,GillPrincePhoto,2019-08-22 19:21:58,Milton Keynes
"Cressa Ghitonia Village.
Member of Aria Hotels
#BoutiqueHotel #AriaHotels #VisitGreece #crete#visitcrete#vacation#h… https://t.co/YANU9janH0",AriaHotelsGR,2019-08-22 10:07:15,Greece
Lounging by the pool reading after another exhausting day swimming at the lake in @VisitCRETE when the Chinese fami… https://t.co/HaNNgIp307,NASBM69,2019-08-21 16:19:44,"Ealing, London"
"Let's discover !
.
 #grèce🇬🇷 #visitcrete #arkadimonastery #crète #travelphotography #cretegreece  #blogvoyage… https://t.co/EOlzOnW3Jw",JefLive,2019-08-21 15:22:16,Paris
"#Crete is the perfect destination for all kinds of travellers. With this blog post, we would like to give you an id… https://t.co/W6saqHznXe",SeaBookings,2019-08-20 21:40:47,"Algarve, Portugal"
@PlanetHolidays @DailyMailUK @VisitGreecegr @visitcyprus @VisitCRETE Stunning,tipsandtoescy,2019-08-20 18:35:01,Cyprus 
"Top things to do in Chania, Crete with kids [AD] https://t.co/vvVKSB5Hj1 #travel #familytravel #VisitCrete https://t.co/j9T2fy6tju",TinBoxTraveller,2019-08-20 18:28:01,"Devon, UK"
Mala Villa is always there to welcome you and offer you the traditional hospitality!!! Book now and benefit from ou… https://t.co/f94ZPPX23q,hotelsierapetra,2019-08-20 09:56:34,"Κρήτη, Ελλάς"
"Feels like home!!!! 😊
Visit us and benefit from our new promo!!!

https://t.co/kpiBWZPIJw

#AzureCove #visitCrete… https://t.co/uQWixifOfB",villasheraklion,2019-08-20 08:18:49,"Crete, Greece"
"Nothing better than relaxing enjoying our view!!! 
Book now and benefit from our rates!!! 

https://t.co/21xCTr7Tdk… https://t.co/8nXKa33E9q",afroditicrete,2019-08-20 08:05:48,"Makrys Gyalos, Greece"
A place to be #crete #Summer2019 #visitcrete #islandcrete #holidayingreece https://t.co/tw3gVvcBTL,Vaniedescott,2019-08-19 15:52:26,crete island Gr
@rozya @VisitCRETE Ah yes. Then I risk having an over tired meltdown 😂,NASBM69,2019-08-19 11:42:16,"Ealing, London"
@NASBM69 @VisitCRETE Sounds ideal! Although remember.. too many daytime naps and you won’t sleep tonight!,rozya,2019-08-19 10:15:35,Walthamstow
It’s official @rozya I’m regressing to being a baby. After leisurely breakfast on our terrace and a little swim in… https://t.co/Gl6t8f2aJn,NASBM69,2019-08-19 09:31:22,"Ealing, London"
Looking ahead to Cape Crocodile on the E4 trail to Sougia. Picture taken right east of Gialiskari Beach. It's the b… https://t.co/Oja7qrNucF,Gustav_28,2019-08-18 14:13:56,Norway
"Sunset time
#myheraklion #mycrete #myisland #sunset #sunset_pics #sunsetlover #sunrise_sunsets #sunsetbeach… https://t.co/PQhHL3Hvtz",SifakiMaria,2019-08-18 09:11:42,"Crete, Greece"
The beautiful narrow streets of Chania old town from... another point of view!! #chania #crete #greece #creteisland… https://t.co/jCWdLratgY,GsChania,2019-08-17 18:53:04,"Χανιά, Ελλάς"
"Our review of Kiani Beach - an all inclusive family resort in Crete, including what we thought of the kids club, po… https://t.co/mAqDs3Ad0w",TinBoxTraveller,2019-08-17 00:48:01,"Devon, UK"
An absolutely stunning August full moon above Chania old town!! #chania #crete #greece #creteisland #oldtown… https://t.co/wMZMH7nFt7,GsChania,2019-08-16 18:56:51,"Χανιά, Ελλάς"
Happy 15th of August! The most important religious celebration of the greek summer! #crete #greece #creteisland… https://t.co/9jAsoNoY6F,GsChania,2019-08-15 16:57:06,"Χανιά, Ελλάς"
"Top things to do in Chania, Crete with kids [AD Press Trip] https://t.co/vvVKSB5Hj1 #travel #familytravel… https://t.co/kggyrzkpYS",TinBoxTraveller,2019-08-15 10:46:01,"Devon, UK"
Nearly full moon over the empty Sitia beach   #beachlife #sitia #visitcrete #instacrete #summermoon… https://t.co/p9VMXazZIW,PloimonApts,2019-08-15 05:48:59,"Siteia, Greece"
"𝐖𝐢𝐧𝐞𝐃𝐚𝐫𝐤𝐒𝐞𝐚 𝐕𝐢𝐥𝐥𝐚𝐬 🇬🇷
.Wine Dark Sea Luxury Villas in Crete is a vacation destination and experience all by itself.… https://t.co/WcRFQkOG1N",WinedarkseaV,2019-08-14 15:46:24,
"Do you reckon this boat will make it across the bay?! 😉.
.
.
.
.
.
.
.
.
#blacknwhitewednesday #visitcrete… https://t.co/S3kD6dO6ru",martfo,2019-08-14 07:04:59,"London, UK"
