Tweets,Username,Created_at,User location,Coordinates
Agios Nikolaos,username@,10/14/2018 23:01,USA,-
Plaka,username@,10/14/2018 22:49,USA,-
If you are planning a meeting or an event in Heraklion,username@,10/11/2018 9:46,USA,-
The behind the scenes shot,username@,10/10/2018 21:37,USA,-
Oops. Somehow ended up back here again at nightfall with my camera. How clumsy of me. . . . . . #agiosnikolaos #lake #crete #greece #visitcrete #VisitGreece #lumix #longexposure … https://www. instagram.com/p/BowmF9tj4AB/ ?utm_source=ig_twitter_share&igshid=1k0dg9fykt5hq …,username@,10/10/2018 19:28,USA,-
Enjoying Crete 5 Dinge für Deinen perfekten Kreta-Aufenthalt gibt’s demnächst im Blog. Ein zwei Wandertipps sind auch dabei #visitcrete #greece #lifeisgreat @Sea Side Resort & Spa https://www. instagram.com/p/BowMUMFn6GI/ ?utm_source=ig_twitter_share&igshid=1khjdpflmnrtc …,username@,10/10/2018 15:43,USA,-
Looking down into the Katharo Plateau from Zeus' Cave on today's safariclub excursion . . . . . #katharo #plateau #mountains #flatlands #crete #visitcrete #landrover #zeus #dikti … https://www. instagram.com/p/BorZgpXDvZ_/ ?utm_source=ig_twitter_share&igshid=1eum5vzuis0eu …,username@,10/8/2018 19:02,USA,-
October & November in Crete equals plenty of sunshine,username@,10/5/2018 16:51,USA,-
I had the best time in Crete with @Hand_Picked_Gr - read my account here https:// kitchentalkandtravels.com/crete-spending -the-day-with-handpicked-greece/ … @DKAsso @VisitGreecegr @VisitCRETE #visitcrete #handpickedgreece @SIMPLYF00D,username@,10/3/2018 22:31,USA,-
Looking towards Elounda and Spinalonga . . . . . #elounda #spinalonga #plaka #lookingdown #crete #greece #trainride #travel #visitgreece #visitcrete #blueskies #ShotOnOnePlus https://www. instagram.com/p/BoeUKkoC7Iu/ ?utm_source=ig_twitter_share&igshid=cslwqvmg62zu …,username@,10/3/2018 17:05,USA,-
Kalo Mina! Einen schönen Oktober für alle! #kalomina #october #stillsummer #crete #paradise #visitcrete #endlesssummer #enjoyyourholiday #georgioupolis #georgioupolisresort,username@,10/1/2018 16:21,USA,-
In the lobby! @visitcrete visitchania #visitchania #visitcrete @Domes Noruz Chania,username@,10/1/2018 8:35,USA,-
Das neue Appartement ist direkt über einer Taverne - Himmel und Hölle zugleich. #visitcrete,username@,9/30/2018 20:13,USA,-
Reflections.. Don't you just love autumns in #Crete ? #beachhousearvi #villa #pool #travel #relax #holidays #visitcrete pic.twitter.com/X7bNxvcZKK,username@,9/29/2018 17:19,USA,-
This how magic looks like... #chania #crete #greece #lighthouse #oldharbor #oldtown #venetianharbor #port #beautiful #landscape #sunrise #sun #placetobe #placetovisit #visitcrete … https://www. instagram.com/p/BoLn7cTnQpb/ ?utm_source=ig_twitter_share&igshid=1o71yh61tv6r4 …,username@,9/26/2018 10:52,USA,-
Enjoy your meals at a bright,username@,9/26/2018 10:32,USA,-
This is the most beautiful dress I ever had Design by Mother Nature .. #cretegreece #creteisland #crete #visitcrete pic.twitter.com/QA7eFNAACU,username@,9/25/2018 9:24,USA,-
Good morning! My last morning in Crete Stretching out with some yoga by the sea before the flight It’s always so hard to come home after an amazing holiday! . . #yoga #yogapose #crete #visitcrete #travel #travelblogger #travelling #holiday … https:// ift.tt/2Q2tVWW pic.twitter.com/JxFVxswnHa,username@,9/24/2018 9:36,USA,-
Can it be something more Greek than that? And this are just the random stairs in Agios Nikolaos in Crete ... #crete #cretegreece #creteisland #visitcrete pic.twitter.com/c5HgmtksOa,username@,9/24/2018 9:14,USA,-
The view on the most beautiful Bay in Crete - Mirabello .. #crete #cretegreece #creteisland #visitcrete pic.twitter.com/Uk2bHvtU7H,username@,9/23/2018 18:42,USA,-
We invite you to visit our website and let us know if you find it user-friendly and easy to navigate! https:// cretan-transfers.com #crete #transfer #taxi #minivan #poll #creta #heraklion #airport #visitcrete,username@,9/21/2018 15:55,USA,-
Ho scoperto il mare a settembre,username@,9/20/2018 8:30,USA,-
Natural treasures and the rebirth of Jewish life on Crete - the perfect family holiday beyond the beach http:// tinyurl.com/y7n4ldta via @laurenlibbert #visitcrete pic.twitter.com/UQuXfb5Kvj,username@,9/19/2018 23:25,USA,-
Chania: Crumbling buildings,username@,9/17/2018 14:45,USA,-
Checking in to the Santa Marina beach hotel in Crete for sun and Jewish heritage http:// tinyurl.com/y7n4ldta via @laurenlibbert @DiscoverGRcom #visitcrete pic.twitter.com/qgBWmZd1tU,username@,9/17/2018 10:25,USA,-
Crete Retreat - the perfect family holiday beyond the beach http:// tinyurl.com/y7n4ldta via @laurenlibbert @DiscoverGRcom #visitcrete pic.twitter.com/7t4QJ5fmRw,username@,9/16/2018 21:20,USA,-
Siamo a metà settembre,username@,9/16/2018 19:59,USA,-
Call it Magic perdersi davanti a un tramonto in questa fine estate un po’ diversa. . . . . . . . #creta #creete #crete #grecia #greece #visitcrete #visitgreece #travel #traveller … https://www. instagram.com/p/BnwQdztFp43/ ?utm_source=ig_twitter_share&igshid=120wtaiwai35c …,username@,9/15/2018 19:48,USA,-
St.Nicholas Chapel at night #georgioupolis #crete #kreta #moonlight #chapel #visitcrete #greece #discover_apokoronas #earth_shotz #travelpics #hot_shotz #landscape #landscape_geography #landscape_lover #loves_united_europe #landscape_focus_on … http:// dlvr.it/Qk5FBr pic.twitter.com/bWHTjVxZAu,username@,9/13/2018 20:12,USA,-
Endless natural beauty in our area Stella Villas #StellaVillas #Plakias #Rethimno #Crete #Kreta #visitcrete #discovercrete https://www. youtube.com/watch?v=-CKXJj kNPS8 …,username@,9/13/2018 13:39,USA,-
