username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-11-11 17:42;0;4;"In Mygia trail #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandscape https:// ift.tt/2RIE2kc pic.twitter.com/dtNGBJQqmY";;;#psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlandscape;"1061645420533833728";https://twitter.com/nikolakakism/status/1061645420533833728
;2018-11-11 07:41;0;2;"Watch your back #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/BqB1cFrA4gS/ ?utm_source=ig_twitter_share&igshid=18gdpq8d2djbl …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion;"1061494005802897408";https://twitter.com/swter02027/status/1061494005802897408
;2018-11-10 14:42;0;1;"Full moon rise from Keri hill with a view to Heraklion #psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlands … https:// ift.tt/2QsSexE pic.twitter.com/t4OmBoIAX4";;;#psiloritis #geopark #agameof10k #AGameofTones #theglobewanderer #worldplaces #discoverearth #nature_brilliance #nature_perfection #welovecrete #creteisland #allincrete #colours_of_crete #cretanlands;"1061237760047099904";https://twitter.com/nikolakakism/status/1061237760047099904
;2018-11-10 14:01;0;1;"Making friends on the beach in Crete! #Crete #Greece #Goat #Beach #Sea #Coastline #CreteIsland #Wildlife #SunSeaSand #GreekIsland #Travel #Explore #SummerDestination pic.twitter.com/cCUCzER7HI";;;#Crete #Greece #Goat #Beach #Sea #Coastline #CreteIsland #Wildlife #SunSeaSand #GreekIsland #Travel #Explore #SummerDestination;"1061227230251175941";https://twitter.com/villasinluxury/status/1061227230251175941
;2018-11-10 08:15;0;1;"Remember #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography … https://www. instagram.com/p/Bp_UmZOg4y8/ ?utm_source=ig_twitter_share&igshid=134znx8ru0hdt …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion #amateurphotography;"1061140345780662272";https://twitter.com/swter02027/status/1061140345780662272
;2018-11-09 22:08;0;1;"Sunrise over Samaria Gorge, the 5:30am start was definitely worth it ................ . . . #samariagorge #sunrise #wanderlust #whyyoushouldvisitcrete #greece #gorgewalk #creteisland … https://www. instagram.com/p/Bp-PGuTFnEj/ ?utm_source=ig_twitter_share&igshid=cnfs2zgxu64m …";;;#samariagorge #sunrise #wanderlust #whyyoushouldvisitcrete #greece #gorgewalk #creteisland;"1060987494446051328";https://twitter.com/EACrutchley/status/1060987494446051328
;2018-11-08 15:42;1;1;"Ωραία περάσαμε και σήμερα το πρωί! #rethymnon #crete #creteisland #movember #selfie #selfienation #selfies #me #me #love #pretty #handsome #instagood #instaselfie #selfietime #face … https://www. instagram.com/p/Bp6-L3wlPlr/ ?utm_source=ig_twitter_share&igshid=18vltn8eg87jc …";;;#rethymnon #crete #creteisland #movember #selfie #selfienation #selfies #me #me #love #pretty #handsome #instagood #instaselfie #selfietime #face;"1060528097500585984";https://twitter.com/NoiseWD/status/1060528097500585984
;2018-11-08 08:30;0;1;"Late at night... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania … https://www. instagram.com/p/Bp6MwUyAGk8/ ?utm_source=ig_twitter_share&igshid=12w4ekwxk80ze …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #chaniacrete #chania;"1060419371166851072";https://twitter.com/swter02027/status/1060419371166851072
;2018-11-07 13:58;0;0;"if you're looking for a #stylish #adultsonlyhotel surrounded by a labyrinth of pools in glorious #creteisland this might be it! Watch the #video here JUST BACK FROM STELLA ISLAND ADULTS ONLY RESORT & SPA CRETE GREECE HD VI... https:// youtu.be/Mgnbudn5gtU via @YouTube";;@YouTube;#stylish #adultsonlyhotel #creteisland #video;"1060139449873588225";https://twitter.com/FullerloveHeidi/status/1060139449873588225
;2018-11-07 08:31;0;0;"Chaos #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #heraklion #Heraklion #crete #creteisland #Crete #amateurphotography … https://www. instagram.com/p/Bp3oAzogrZW/ ?utm_source=ig_twitter_share&igshid=irx06szd2mn2 …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #heraklion #Heraklion #crete #creteisland #Crete #amateurphotography;"1060057123906703360";https://twitter.com/swter02027/status/1060057123906703360
;2018-11-06 20:49;1;2;"Wine & Olive Oil Experiences in Crete?! You are on the right Page! #crete #cretegreece #creteisland #wine #winelover #wineries #winesofcrete #winewalkerscrete #oliveoil #creteoliveoil … https://www. instagram.com/p/Bp2XqAyALW9/ ?utm_source=ig_twitter_share&igshid=1nrbrqli9l2az …";;;#crete #cretegreece #creteisland #wine #winelover #wineries #winesofcrete #winewalkerscrete #oliveoil #creteoliveoil;"1059880397046198278";https://twitter.com/marilinapaters/status/1059880397046198278
;2018-11-06 15:05;0;1;"Fly touch the sun! #crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #tourist #tourism #travelling #traveler #tourism #travelingram #igtravel #traveller … https://www. instagram.com/p/Bp1wW2Wlh-9/ ?utm_source=ig_twitter_share&igshid=mq5sm6gy1p6l …";;;#crete #kreta #greece #creteisland #heraklion #visitgreece #greekislands #ig_greece #tourist #tourism #travelling #traveler #tourism #travelingram #igtravel #traveller;"1059793985751810048";https://twitter.com/ManolisVarouhas/status/1059793985751810048
;2018-11-06 08:20;0;0;"Garbages... #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion … https://www. instagram.com/p/Bp1B7IXAZNL/ ?utm_source=ig_twitter_share&igshid=1l8eh4kf4wum4 …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #greece2018 #Greece2018 #greece2018 #crete #creteisland #Crete #heraklion #Heraklion;"1059691874028523520";https://twitter.com/swter02027/status/1059691874028523520
;2018-11-05 23:11;0;0;"That's#revolution, we Support the #antifagreece and the #antifaeurope and #worldwide #antifa to , we do know how is the #war in #exargia #athens #rotonda #tesaloniki #rosanera #creteisland … https://www. instagram.com/p/Bp0DKUUhbpF/ ?utm_source=ig_twitter_share&igshid=zogp88kvlfli …";;;#revolution #antifagreece #antifaeurope #worldwide #antifa #war #exargia #athens #rotonda #tesaloniki #rosanera #creteisland;"1059553857712336896";https://twitter.com/grownewgenetics/status/1059553857712336896
;2018-11-04 18:48;0;0;"Just #chania ... #greece #crete #creteisland #lighthouse #oldharbor #oldtown #horse #amazingshoot #sunnyday #placetobe #placetovisit #visitcrete #visitgreece #fabulouscrete https://www. instagram.com/p/BpxATXXA0VP/ ?utm_source=ig_twitter_share&igshid=jz8dp8gz4qai …";;;#chania #greece #crete #creteisland #lighthouse #oldharbor #oldtown #horse #amazingshoot #sunnyday #placetobe #placetovisit #visitcrete #visitgreece #fabulouscrete;"1059125362947428353";https://twitter.com/GsChania/status/1059125362947428353
;2018-11-04 12:40;0;1;""Surprise" My participation in Photologio's exhibition "INSPIRED" #nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #crete #creteisland #Crete #lasithicrete #lasithi … https://www. instagram.com/p/BpwWLy8g7ta/ ?utm_source=ig_twitter_share&igshid=bqodfaj0fhdg …";;;#nikon #nikon5300d #Nikond5300 #greece #greece #greecestagram #crete #creteisland #Crete #lasithicrete #lasithi;"1059032738928451584";https://twitter.com/swter02027/status/1059032738928451584
;2018-11-03 10:52;0;1;"Αντικατοπτρισμοί... #mirroring #mirror #beach #rethymnon #crete #creteisland #november #love #sea #picture #picoftheday #pic #pics #photooftheday #photo #man #art #likes @Réthimnon, Greece https://www. instagram.com/p/BptlAPBFutb/ ?utm_source=ig_twitter_share&igshid=1gqngubib7245 …";;@Réthimnon;#mirroring #mirror #beach #rethymnon #crete #creteisland #november #love #sea #picture #picoftheday #pic #pics #photooftheday #photo #man #art #likes;"1058643117002407936";https://twitter.com/NoiseWD/status/1058643117002407936
