username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,
";2018-10-14 23:01;0;1;""Agios Nikolaos"," Crete at sunset #agiosnikolaos #Crete #Greece @VisitCRETE @VisitGreecegr @AgNikolaosCrete #visitcrete #visitgreece pic.twitter.com/0tojggaczc"";;@VisitCRETE @VisitGreecegr @AgNikolaosCrete;#agiosnikolaos #Crete #Greece #visitcrete #visitgreece;""1051563631387783170"";https://twitter.com/richOBphoto/status/1051563631387783170",
";2018-10-14 22:49;1;0;""Plaka"," Crete . . . . . #plaka #crete #street #elounda #visitcrete #greece #travel #lumix https://www. instagram.com/p/Bo7QPzwgxJc/ ?utm_source=ig_twitter_share&igshid=16bn11uhfqq1q …"";;;#plaka #crete #street #elounda #visitcrete #greece #travel #lumix;""1051560597609943042"";https://twitter.com/richOBphoto/status/1051560597609943042",
";2018-10-11 09:46;1;4;""If you are planning a meeting or an event in Heraklion"," make sure to contact us for a quote. Our experienced and well trained team will assist in organizing a memorable event! #meeting #event #heraklion #conference #crete #visitcrete #ibisstyles #heraklioncentral pic.twitter.com/5Eg8Hc9lYi"";;;#meeting #event #heraklion #conference #crete #visitcrete #ibisstyles #heraklioncentral;""1050276314475884545"";https://twitter.com/ibisHeraklion/status/1050276314475884545",
";2018-10-10 21:37;0;2;""The behind the scenes shot"," and the shot I was setting up. #visitcrete #crete #agiosnikolaos #lumix #manfrotto pic.twitter.com/PW7MSHzNhS"";;;#visitcrete #crete #agiosnikolaos #lumix #manfrotto;""1050092859083411457"";https://twitter.com/richOBphoto/status/1050092859083411457",
";2018-10-10 19:28;0;1;""Oops. Somehow ended up back here again at nightfall with my camera. How clumsy of me. . . . . . #agiosnikolaos #lake #crete #greece #visitcrete #VisitGreece #lumix #longexposure … https://www. instagram.com/p/BowmF9tj4AB/ ?utm_source=ig_twitter_share&igshid=1k0dg9fykt5hq …"";;;#agiosnikolaos #lake #crete #greece #visitcrete #VisitGreece #lumix #longexposure;""1050060527366545408"";https://twitter.com/richOBphoto/status/1050060527366545408",,
";2018-10-10 15:43;0;0;""Enjoying Crete 5 Dinge für Deinen perfekten Kreta-Aufenthalt gibt’s demnächst im Blog. Ein zwei Wandertipps sind auch dabei #visitcrete #greece #lifeisgreat @Sea Side Resort & Spa https://www. instagram.com/p/BowMUMFn6GI/ ?utm_source=ig_twitter_share&igshid=1khjdpflmnrtc …"";;@Sea;#visitcrete #greece #lifeisgreat;""1050003842526367744"";https://twitter.com/allgaeuberg/status/1050003842526367744",,
";2018-10-08 19:02;0;0;""Looking down into the Katharo Plateau from Zeus' Cave on today's safariclub excursion . . . . . #katharo #plateau #mountains #flatlands #crete #visitcrete #landrover #zeus #dikti … https://www. instagram.com/p/BorZgpXDvZ_/ ?utm_source=ig_twitter_share&igshid=1eum5vzuis0eu …"";;;#katharo #plateau #mountains #flatlands #crete #visitcrete #landrover #zeus #dikti;""1049329171288215553"";https://twitter.com/richOBphoto/status/1049329171288215553",,
";2018-10-05 16:51;0;2;""October & November in Crete equals plenty of sunshine"," ideal conditions for an upcoming escape! Soon! #crete #beachhousearvi #holidays #visitcrete #travel #villa #holidayhome #rentalhome #villaincrete #southcrete #onthebeach pic.twitter.com/AYBE8YYt4K"";;;#crete #beachhousearvi #holidays #visitcrete #travel #villa #holidayhome #rentalhome #villaincrete #southcrete #onthebeach;""1048209039132413953"";https://twitter.com/BeachHouseArvi/status/1048209039132413953",
";2018-10-03 22:31;7;3;""I had the best time in Crete with @Hand_Picked_Gr - read my account here https:// kitchentalkandtravels.com/crete-spending -the-day-with-handpicked-greece/ … @DKAsso @VisitGreecegr @VisitCRETE #visitcrete #handpickedgreece @SIMPLYF00D"";;@Hand_Picked_Gr @DKAsso @VisitGreecegr @VisitCRETE @SIMPLYF00D;#visitcrete #handpickedgreece;""1047569881825255428"";https://twitter.com/Walpolegirl/status/1047569881825255428",,
";2018-10-03 17:05;0;0;""Looking towards Elounda and Spinalonga . . . . . #elounda #spinalonga #plaka #lookingdown #crete #greece #trainride #travel #visitgreece #visitcrete #blueskies #ShotOnOnePlus https://www. instagram.com/p/BoeUKkoC7Iu/ ?utm_source=ig_twitter_share&igshid=cslwqvmg62zu …"";;;#elounda #spinalonga #plaka #lookingdown #crete #greece #trainride #travel #visitgreece #visitcrete #blueskies #ShotOnOnePlus;""1047487839611621376"";https://twitter.com/richOBphoto/status/1047487839611621376",,
";2018-10-01 16:21;1;0;""Kalo Mina! Einen schönen Oktober für alle! #kalomina #october #stillsummer #crete #paradise #visitcrete #endlesssummer #enjoyyourholiday #georgioupolis #georgioupolisresort"";;;#kalomina #october #stillsummer #crete #paradise #visitcrete #endlesssummer #enjoyyourholiday #georgioupolis #georgioupolisresort;""1046752082185912320"";https://twitter.com/GeorgioupolisR/status/1046752082185912320",,
";2018-10-01 08:35;0;1;""In the lobby! @visitcrete visitchania #visitchania #visitcrete @Domes Noruz Chania"," Autograph Collection https://www. instagram.com/p/BoYQMGfBLI0/ ?utm_source=ig_twitter_share&igshid=czc2g67xc5rh …"";;@visitcrete @Domes;#visitchania #visitcrete;""1046634651379478530"";https://twitter.com/LornaWLittrell/status/1046634651379478530",
";2018-09-30 20:13;0;2;""Das neue Appartement ist direkt über einer Taverne - Himmel und Hölle zugleich. #visitcrete"";;;#visitcrete;""1046448081515024385"";https://twitter.com/derBlueliner/status/1046448081515024385",,
";2018-09-29 17:19;0;2;""Reflections.. Don't you just love autumns in #Crete ? #beachhousearvi #villa #pool #travel #relax #holidays #visitcrete pic.twitter.com/X7bNxvcZKK"";;;#Crete #beachhousearvi #villa #pool #travel #relax #holidays #visitcrete;""1046041821183447040"";https://twitter.com/BeachHouseArvi/status/1046041821183447040",,
