username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-09-15 01:42;2;1;"Streetfood in Crete Island Greece #travel #trndnl #streetsfood #streetfood #travelvlog #travelblog #travelescape #travelphotography #travelgirl #traveladdict #greekfood #gourmet #chef #grecia #seafood #fishfood #streetfood #crete https:// youtu.be/pZW2CqxRCq8";;;#travel #trndnl #streetsfood #streetfood #travelvlog #travelblog #travelescape #travelphotography #travelgirl #traveladdict #greekfood #gourmet #chef #grecia #seafood #fishfood #streetfood #crete;"1173004213149937664";https://twitter.com/Frances88991403/status/1173004213149937664
;2019-09-15 00:59;0;0;"Oko mene, divni umovi, sve na margini totalne štete! #greece #travel #summer #sea #athens #greek #ig #nature #photography #love #crete #holiday #santorini #beach #visitgreece #island #sunset #greekislands … https://www. instagram.com/p/B2aFf4aHkwe/ ?igshid=1v5kgf2atwgdx …";;;#greece #travel #summer #sea #athens #greek #ig #nature #photography #love #crete #holiday #santorini #beach #visitgreece #island #sunset #greekislands;"1172993396060897282";https://twitter.com/OmerdicDino/status/1172993396060897282
;2019-09-15 00:24;0;0;"Alla scoperta di #chania ... . . #streetphotography #crete #photoofthenight https://www. instagram.com/p/B2aBZrqooMh/ ?igshid=qii70exwqpvu …";;;#chania #streetphotography #crete #photoofthenight;"1172984392186122241";https://twitter.com/Giuwa84/status/1172984392186122241
;2019-09-15 00:23;0;8;"Auringonlasku iltakävelyn varrelta Kreetalla. #hania #kreeta #chania #crete #greece #sunset pic.twitter.com/yn7LCr80uH";;;#hania #kreeta #chania #crete #greece #sunset;"1172984165907783682";https://twitter.com/marjokat02/status/1172984165907783682
;2019-09-14 23:54;1;0;"“Prateando”. #crete #creta #kreta #verao #summer #sommer #ferias #férias #holiday #urlaub #viagem #travel #reise #semfiltro #nofilter #praia #beach #strand #episkopi em Episkopí, Khania, Greece https://www. instagram.com/p/B2Z9-rNh06I/ ?igshid=n68hwe8bparz …";;;#crete #creta #kreta #verao #summer #sommer #ferias #férias #holiday #urlaub #viagem #travel #reise #semfiltro #nofilter #praia #beach #strand #episkopi;"1172976857014317056";https://twitter.com/MarioHMB/status/1172976857014317056
;2019-09-14 23:23;1;0;"#ForestFires #Wildfires #FireDanger #FireSafety #News Very high or extreme danger in central & N #Portugal ; NW and NE #Spain , central #Italy , coastal mainland #Greece , #Crete & #Cyclades islands, E coast of #Romania , SE #Bulgaria , S #Ukraine and in W, central &SE#Turkey #EFFIS";;;#ForestFires #Wildfires #FireDanger #FireSafety #News #Portugal #Spain #Italy #Greece #Crete #Cyclades #Romania #Bulgaria #Ukraine #Turkey #EFFIS;"1172969063582240768";https://twitter.com/Goatys_News/status/1172969063582240768
;2019-09-14 23:19;1;0;"Good, recent books on ancient history of #Crete , anyone? I looked in the British Museum Library last week but all they had was from the 1950s... #classics #classicsnerd #BookRecommendations #longshot";;;#Crete #classics #classicsnerd #BookRecommendations #longshot;"1172968141242212352";https://twitter.com/Qaoileann/status/1172968141242212352
;2019-09-14 23:18;0;0;"The best things to do in Crete island in Greece #crete #thingstodo #visitgreece #greekislands #top10 #island #vacation #travel #travelgram #thingsiwannaseetrend #travelblogger #traveller http:// athensglance.com/2019/09/14/cre te/ … pic.twitter.com/QA01mVu27n";;;#crete #thingstodo #visitgreece #greekislands #top10 #island #vacation #travel #travelgram #thingsiwannaseetrend #travelblogger #traveller;"1172967875361083393";https://twitter.com/athensglance/status/1172967875361083393
;2019-09-14 23:05;1;1;"Το Κρητικό θυμαρίσιο μέλι στην Θεσσαλονίκη, που τιμά και εκτιμά το καλύτερο. . . . #θεσσαλονίκη #thessaloniki #skg #salonika #deth #ΔΕΘ #cretanhoney #greece #crete #greekhoney #thymehoney #honey pic.twitter.com/q6yVfpLSbM";;;#θεσσαλονίκη #thessaloniki #skg #salonika #deth #ΔΕΘ #cretanhoney #greece #crete #greekhoney #thymehoney #honey;"1172964549412249600";https://twitter.com/Cretanhoney/status/1172964549412249600
;2019-09-14 22:46;0;12;"Last night of our #crete holiday #loveislove pic.twitter.com/b8wBr01Uui";;;#crete #loveislove;"1172959784305405954";https://twitter.com/JoelAKerry1981/status/1172959784305405954
